"",BBK01.OEHO02L,BBK01.OEHO02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:53,
2002-01,1.939,
2002-04,1.464,
2002-07,1.377,
2002-10,1.631,
2003-01,1.727,
2003-04,1.495,
2003-07,1.435,
2003-10,1.684,
2004-01,1.726,
2004-04,1.392,
2004-07,1.296,
2004-10,1.674,
2005-01,1.538,
2005-04,1.294,
2005-07,1.143,
2005-10,1.447,
2006-01,1.578,
2006-04,1.471,
2006-07,1.431,
2006-10,1.682,
2007-01,1.609,
2007-04,1.301,
2007-07,1.233,
2007-10,1.374,
2008-01,1.356,
2008-04,1.162,
2008-07,1.194,
2008-10,1.658,
2009-01,1.948,
2009-04,1.936,
2009-07,1.675,
2009-10,1.784,
2010-01,1.601,
2010-04,1.137,
2010-07,0.851,
2010-10,1.011,
2011-01,1.117,
2011-04,1.090,
2011-07,0.935,
2011-10,1.022,
2012-01,1.015,
2012-04,0.900,
2012-07,0.912,
2012-10,1.007,
2013-01,1.004,
2013-04,0.807,
2013-07,0.816,
2013-10,1.016,
2014-01,0.966,
2014-04,0.930,
2014-07,0.796,
