"",BBK01.OEYB19L,BBK01.OEYB19L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:12,
2002-01,0.430,
2002-04,0.623,
2002-07,0.659,
2002-10,0.695,
2003-01,0.655,
2003-04,0.678,
2003-07,0.711,
2003-10,0.725,
2004-01,0.673,
2004-04,0.657,
2004-07,0.658,
2004-10,0.619,
2005-01,0.589,
2005-04,0.575,
2005-07,0.572,
2005-10,0.776,
2006-01,0.515,
2006-04,0.496,
2006-07,0.490,
2006-10,0.468,
2007-01,0.445,
2007-04,0.443,
2007-07,0.474,
2007-10,0.578,
2008-01,0.572,
2008-04,0.600,
2008-07,0.653,
2008-10,0.620,
2009-01,0.627,
2009-04,0.657,
2009-07,0.583,
2009-10,0.602,
2010-01,0.613,
2010-04,0.685,
2010-07,0.715,
2010-10,0.772,
2011-01,0.322,
2011-04,0.337,
2011-07,0.391,
2011-10,0.441,
2012-01,0.499,
2012-04,0.524,
2012-07,0.555,
2012-10,0.572,
2013-01,0.599,
2013-04,0.617,
2013-07,0.639,
2013-10,0.651,
2014-01,0.648,
2014-04,0.640,
2014-07,0.640,
