"",BBK01.OEHB16O,BBK01.OEHB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:23,
2002-01,6.434,
2002-04,6.441,
2002-07,6.495,
2002-10,6.487,
2003-01,6.487,
2003-04,6.485,
2003-07,6.537,
2003-10,6.556,
2004-01,6.602,
2004-04,6.612,
2004-07,6.624,
2004-10,6.561,
2005-01,6.571,
2005-04,6.543,
2005-07,6.540,
2005-10,6.508,
2006-01,6.483,
2006-04,6.475,
2006-07,6.498,
2006-10,6.478,
2007-01,6.437,
2007-04,6.373,
2007-07,6.383,
2007-10,6.386,
2008-01,6.335,
2008-04,6.336,
2008-07,6.326,
2008-10,6.375,
2009-01,6.304,
2009-04,6.374,
2009-07,6.370,
2009-10,6.395,
2010-01,6.310,
2010-04,6.361,
2010-07,6.507,
2010-10,6.461,
2011-01,6.413,
2011-04,6.460,
2011-07,6.509,
2011-10,6.570,
2012-01,6.590,
2012-04,6.639,
2012-07,6.680,
2012-10,6.735,
2013-01,6.696,
2013-04,6.701,
2013-07,6.681,
2013-10,6.707,
2014-01,6.702,
2014-04,6.739,
2014-07,6.803,
