"",BBDE1.Q.DE.Y.LCA1.A2P001000.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.A2P001000.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Production sector including construction (B - F) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:05,
1996-01,76.9,
1996-04,76.8,
1996-07,78.3,
1996-10,80.4,
1997-01,80.5,
1997-04,77.4,
1997-07,79.0,
1997-10,80.3,
1998-01,79.3,
1998-04,80.1,
1998-07,80.5,
1998-10,81.2,
1999-01,81.4,
1999-04,81.9,
1999-07,82.2,
1999-10,81.9,
2000-01,83.7,
2000-04,85.7,
2000-07,86.5,
2000-10,87.3,
2001-01,87.2,
2001-04,88.4,
2001-07,88.8,
2001-10,89.3,
2002-01,90.4,
2002-04,89.3,
2002-07,90.7,
2002-10,91.0,
2003-01,92.5,
2003-04,92.5,
2003-07,92.8,
2003-10,92.4,
2004-01,93.6,
2004-04,93.6,
2004-07,93.0,
2004-10,92.6,
2005-01,95.2,
2005-04,92.6,
2005-07,93.9,
2005-10,94.6,
2006-01,95.8,
2006-04,96.4,
2006-07,97.5,
2006-10,97.4,
2007-01,95.8,
2007-04,97.5,
2007-07,97.7,
2007-10,98.8,
2008-01,99.7,
2008-04,96.6,
2008-07,99.2,
2008-10,104.4,
2009-01,102.7,
2009-04,102.2,
2009-07,102.0,
2009-10,101.2,
2010-01,103.2,
2010-04,101.8,
2010-07,102.1,
2010-10,102.5,
2011-01,105.0,
2011-04,106.2,
2011-07,105.7,
2011-10,106.9,
2012-01,105.7,
2012-04,109.5,
2012-07,109.0,
2012-10,110.0,
2013-01,111.9,
2013-04,110.8,
2013-07,110.6,
2013-10,112.7,
2014-01,112.7,
2014-04,114.2,
2014-07,113.1,
