"",BBK01.OEHB06O,BBK01.OEHB06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:19,
2002-01,4.459,
2002-04,4.428,
2002-07,4.379,
2002-10,4.213,
2003-01,4.357,
2003-04,4.389,
2003-07,4.279,
2003-10,4.156,
2004-01,4.259,
2004-04,4.229,
2004-07,4.272,
2004-10,4.097,
2005-01,4.225,
2005-04,4.182,
2005-07,4.213,
2005-10,4.226,
2006-01,4.190,
2006-04,4.158,
2006-07,4.117,
2006-10,4.146,
2007-01,4.179,
2007-04,4.150,
2007-07,4.049,
2007-10,4.053,
2008-01,4.042,
2008-04,4.055,
2008-07,3.948,
2008-10,4.075,
2009-01,4.204,
2009-04,4.297,
2009-07,4.266,
2009-10,4.221,
2010-01,4.305,
2010-04,4.338,
2010-07,4.330,
2010-10,4.276,
2011-01,4.467,
2011-04,4.595,
2011-07,4.419,
2011-10,4.285,
2012-01,4.358,
2012-04,4.437,
2012-07,4.247,
2012-10,4.299,
2013-01,4.511,
2013-04,4.389,
2013-07,4.217,
2013-10,4.069,
2014-01,4.129,
2014-04,3.918,
2014-07,3.783,
