"",BBK01.OEAH89J,BBK01.OEAH89J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:25,
2002-01,1.539,
2002-04,1.529,
2002-07,1.598,
2002-10,1.568,
2003-01,1.642,
2003-04,1.710,
2003-07,1.840,
2003-10,1.715,
2004-01,1.840,
2004-04,1.846,
2004-07,1.745,
2004-10,1.740,
2005-01,1.775,
2005-04,1.914,
2005-07,1.996,
2005-10,2.025,
2006-01,1.752,
2006-04,1.693,
2006-07,1.686,
2006-10,0.182,
2007-01,0.146,
2007-04,0.144,
2007-07,0.142,
2007-10,0.092,
2008-01,0.055,
2008-04,0.050,
2008-07,0.046,
2008-10,0.042,
2009-01,0.051,
2009-04,0.030,
2009-07,0.029,
2009-10,0.031,
2010-01,0.024,
2010-04,0.024,
2010-07,0.025,
2010-10,0.027,
2011-01,0.028,
2011-04,0.048,
2011-07,0.048,
2011-10,0.049,
2012-01,0.048,
2012-04,0.050,
2012-07,0.043,
2012-10,0.042,
2013-01,0.041,
2013-04,0.017,
2013-07,0.017,
2013-10,0.017,
2014-01,0.005,
2014-04,0.005,
2014-07,0.003,
