"",BBFB1.Q.N.DE.TR.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:01,
1991-01,-356.292,
1991-04,-431.428,
1991-07,-741.349,
1991-10,-490.092,
1992-01,-685.939,
1992-04,-586.965,
1992-07,-963.988,
1992-10,-816.077,
1993-01,-530.446,
1993-04,-459.505,
1993-07,-846.088,
1993-10,-434.158,
1994-01,-675.608,
1994-04,-979.985,
1994-07,-1367.957,
1994-10,-969.208,
1995-01,-1013.078,
1995-04,-765.484,
1995-07,-1618.690,
1995-10,-757.128,
1996-01,-564.134,
1996-04,-458.965,
1996-07,-1122.433,
1996-10,-514.504,
1997-01,-597.100,
1997-04,-429.988,
1997-07,-943.983,
1997-10,-231.209,
1998-01,-351.289,
1998-04,-398.668,
1998-07,-1233.116,
1998-10,-808.248,
1999-01,-616.690,
1999-04,-812.444,
1999-07,-1189.549,
1999-10,-688.052,
2000-01,-539.207,
2000-04,-320.342,
2000-07,-830.628,
2000-10,-53.702,
2001-01,-793.469,
2001-04,-1451.017,
2001-07,-2095.081,
2001-10,-1301.481,
2002-01,-735.649,
2002-04,-995.746,
2002-07,-1697.348,
2002-10,-927.255,
2003-01,-514.907,
2003-04,-541.960,
2003-07,-918.464,
2003-10,-507.932,
2004-01,738.668,
2004-04,658.132,
2004-07,-793.947,
2004-10,218.876,
2005-01,752.647,
2005-04,499.294,
2005-07,-108.183,
2005-10,421.685,
2006-01,1106.172,
2006-04,910.041,
2006-07,135.800,
2006-10,801.437,
2007-01,670.070,
2007-04,729.565,
2007-07,55.491,
2007-10,908.112,
2008-01,1495.121,
2008-04,1278.969,
2008-07,593.110,
2008-10,368.474,
2009-01,157.059,
2009-04,490.282,
2009-07,298.760,
2009-10,552.207,
2010-01,983.165,
2010-04,1219.600,
2010-07,229.402,
2010-10,1405.158,
2011-01,2309.949,
2011-04,1683.693,
2011-07,578.985,
2011-10,827.470,
2012-01,1605.830,
2012-04,1469.787,
2012-07,989.578,
2012-10,1459.715,
2013-01,2355.992,
2013-04,2242.827,
2013-07,666.986,
2013-10,1162.770,
2014-01,1484.765,Provisional value
2014-04,635.263,Provisional value
2014-07,-510.237,Provisional value
