"",BBK01.OEAC50G,BBK01.OEAC50G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:56,
2002-01,13.400,
2002-04,13.338,
2002-07,13.318,
2002-10,13.213,
2003-01,12.957,
2003-04,12.918,
2003-07,12.636,
2003-10,12.493,
2004-01,12.263,
2004-04,12.211,
2004-07,12.082,
2004-10,11.944,
2005-01,11.827,
2005-04,11.767,
2005-07,11.614,
2005-10,11.526,
2006-01,11.295,
2006-04,11.400,
2006-07,11.270,
2006-10,11.150,
2007-01,11.268,
2007-04,11.321,
2007-07,11.279,
2007-10,11.311,
2008-01,11.411,
2008-04,11.494,
2008-07,11.664,
2008-10,11.576,
2009-01,11.423,
2009-04,11.685,
2009-07,11.620,
2009-10,11.386,
2010-01,11.562,
2010-04,12.007,
2010-07,11.940,
2010-10,11.893,
2011-01,11.862,
2011-04,11.876,
2011-07,12.000,
2011-10,12.022,
2012-01,12.081,
2012-04,12.411,
2012-07,12.582,
2012-10,12.688,
2013-01,12.598,
2013-04,12.537,
2013-07,12.591,
2013-10,12.789,
2014-01,12.715,
2014-04,12.781,
2014-07,12.784,
