"",BBK01.OEAA56N,BBK01.OEAA56N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:24,
2002-01,0.129,
2002-04,0.131,
2002-07,0.129,
2002-10,0.104,
2003-01,0.115,
2003-04,0.117,
2003-07,0.109,
2003-10,0.103,
2004-01,0.083,
2004-04,0.095,
2004-07,0.070,
2004-10,0.087,
2005-01,0.096,
2005-04,0.079,
2005-07,0.073,
2005-10,0.053,
2006-01,0.053,
2006-04,0.048,
2006-07,0.054,
2006-10,0.048,
2007-01,0.051,
2007-04,0.048,
2007-07,0.050,
2007-10,0.028,
2008-01,0.015,
2008-04,0.014,
2008-07,0.015,
2008-10,0.014,
2009-01,0.025,
2009-04,0.024,
2009-07,0.025,
2009-10,0.030,
2010-01,0.029,
2010-04,0.027,
2010-07,0.028,
2010-10,0.027,
2011-01,0.027,
2011-04,0.026,
2011-07,0.025,
2011-10,0.025,
2012-01,0.020,
2012-04,0.020,
2012-07,0.019,
2012-10,0.019,
2013-01,0.017,
2013-04,0.017,
2013-07,0.016,
2013-10,0.015,
2014-01,0.016,
2014-04,0.005,
2014-07,0.005,
