"",BBK01.OEHM01R,BBK01.OEHM01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:27,
2002-01,0.257,
2002-04,0.275,
2002-07,0.234,
2002-10,0.229,
2003-01,0.206,
2003-04,0.195,
2003-07,0.197,
2003-10,0.218,
2004-01,0.225,
2004-04,0.245,
2004-07,0.236,
2004-10,0.207,
2005-01,0.210,
2005-04,0.215,
2005-07,0.214,
2005-10,0.242,
2006-01,0.219,
2006-04,0.227,
2006-07,0.234,
2006-10,0.232,
2007-01,0.245,
2007-04,0.250,
2007-07,0.265,
2007-10,0.241,
2008-01,0.234,
2008-04,0.274,
2008-07,0.272,
2008-10,0.309,
2009-01,0.295,
2009-04,0.321,
2009-07,0.270,
2009-10,0.260,
2010-01,0.243,
2010-04,0.258,
2010-07,0.252,
2010-10,0.273,
2011-01,0.248,
2011-04,0.232,
2011-07,0.209,
2011-10,0.239,
2012-01,0.207,
2012-04,0.231,
2012-07,0.224,
2012-10,0.232,
2013-01,0.210,
2013-04,0.214,
2013-07,0.189,
2013-10,0.224,
2014-01,0.191,
2014-04,0.218,
2014-07,0.206,
