"",BBK01.OEHL02G,BBK01.OEHL02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:33,
2002-01,14.247,
2002-04,14.522,
2002-07,14.312,
2002-10,14.739,
2003-01,15.060,
2003-04,15.396,
2003-07,15.511,
2003-10,15.786,
2004-01,16.016,
2004-04,16.292,
2004-07,16.169,
2004-10,16.193,
2005-01,16.363,
2005-04,16.776,
2005-07,16.979,
2005-10,17.210,
2006-01,17.412,
2006-04,17.666,
2006-07,17.444,
2006-10,17.571,
2007-01,17.774,
2007-04,18.204,
2007-07,18.155,
2007-10,18.799,
2008-01,18.620,
2008-04,18.790,
2008-07,18.566,
2008-10,19.455,
2009-01,21.200,
2009-04,22.894,
2009-07,23.320,
2009-10,23.746,
2010-01,24.043,
2010-04,24.676,
2010-07,24.603,
2010-10,24.939,
2011-01,24.636,
2011-04,24.982,
2011-07,25.053,
2011-10,25.635,
2012-01,25.950,
2012-04,27.021,
2012-07,27.847,
2012-10,28.675,
2013-01,29.168,
2013-04,30.211,
2013-07,30.430,
2013-10,31.421,
2014-01,31.700,
2014-04,32.728,
2014-07,33.045,
