"",BBK01.OEAD29H,BBK01.OEAD29H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:53,
2002-01,0.117,
2002-04,0.111,
2002-07,0.111,
2002-10,0.117,
2003-01,0.120,
2003-04,0.106,
2003-07,0.107,
2003-10,0.133,
2004-01,0.124,
2004-04,0.121,
2004-07,0.142,
2004-10,0.138,
2005-01,0.086,
2005-04,0.082,
2005-07,0.084,
2005-10,0.078,
2006-01,0.084,
2006-04,0.088,
2006-07,0.084,
2006-10,0.081,
2007-01,0.075,
2007-04,0.074,
2007-07,0.078,
2007-10,0.079,
2008-01,0.078,
2008-04,0.187,
2008-07,0.130,
2008-10,0.076,
2009-01,0.111,
2009-04,0.123,
2009-07,0.171,
2009-10,0.167,
2010-01,0.175,
2010-04,0.173,
2010-07,0.183,
2010-10,0.088,
2011-01,0.086,
2011-04,0.090,
2011-07,0.121,
2011-10,0.119,
2012-01,0.122,
2012-04,0.121,
2012-07,0.141,
2012-10,0.143,
2013-01,0.133,
2013-04,0.114,
2013-07,0.111,
2013-10,0.112,
2014-01,0.117,
2014-04,0.123,
2014-07,0.121,
