"",BBK01.WU035A,BBK01.WU035A_FLAGS
"",REX price index / End of month,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:11:16,
1967-01,102.09,
1967-02,102.52,
1967-03,104.39,
1967-04,104.25,
1967-05,105.01,
1967-06,104.56,
1967-07,105.27,
1967-08,105.44,
1967-09,105.88,
1967-10,105.78,
1967-11,105.90,
1967-12,105.78,
1968-01,105.87,
1968-02,105.84,
1968-03,105.74,
1968-04,106.80,
1968-05,107.40,
1968-06,107.43,
1968-07,107.52,
1968-08,107.77,
1968-09,107.86,
1968-10,107.69,
1968-11,107.70,
1968-12,107.73,
1969-01,107.91,
1969-02,107.80,
1969-03,107.24,
1969-04,106.68,
1969-05,106.69,
1969-06,104.98,
1969-07,104.44,
1969-08,104.31,
1969-09,102.27,
1969-10,102.78,
1969-11,101.82,
1969-12,101.56,
1970-01,100.62,
1970-02,100.25,
1970-03,98.54,
1970-04,98.69,
1970-05,97.38,
1970-06,95.83,
1970-07,97.59,
1970-08,97.72,
1970-09,97.11,
1970-10,96.75,
1970-11,97.59,
1970-12,99.55,
1971-01,101.08,
1971-02,100.37,
1971-03,100.17,
1971-04,100.10,
1971-05,99.67,
1971-06,98.14,
1971-07,98.31,
1971-08,99.01,
1971-09,99.54,
1971-10,100.05,
1971-11,100.05,
1971-12,100.56,
1972-01,102.43,
1972-02,103.35,
1972-03,102.32,
1972-04,100.62,
1972-05,101.22,
1972-06,100.04,
1972-07,100.25,
1972-08,100.54,
1972-09,100.64,
1972-10,98.63,
1972-11,97.74,
1972-12,97.43,
1973-01,97.55,
1973-02,98.03,
1973-03,97.18,
1973-04,95.98,
1973-05,93.95,
1973-06,92.69,
1973-07,91.83,
1973-08,93.67,
1973-09,93.08,
1973-10,93.70,
1973-11,93.60,
1973-12,93.28,
1974-01,93.46,
1974-02,90.86,
1974-03,90.59,
1974-04,90.71,
1974-05,89.66,
1974-06,89.64,
1974-07,89.55,
1974-08,89.65,
1974-09,89.45,
1974-10,89.80,
1974-11,92.02,
1974-12,93.26,
1975-01,96.07,
1975-02,97.34,
1975-03,97.12,
1975-04,98.14,
1975-05,99.03,
1975-06,98.89,
1975-07,99.20,
1975-08,99.06,
1975-09,98.92,
1975-10,97.87,
1975-11,98.33,
1975-12,98.41,
1976-01,99.17,
1976-02,100.48,
1976-03,100.96,
1976-04,100.78,
1976-05,99.32,
1976-06,98.92,
1976-07,98.55,
1976-08,99.13,
1976-09,99.71,
1976-10,100.26,
1976-11,102.04,
1976-12,101.80,
1977-01,102.51,
1977-02,102.64,
1977-03,104.36,
1977-04,105.68,
1977-05,105.74,
1977-06,105.90,
1977-07,106.73,
1977-08,107.28,
1977-09,107.46,
1977-10,107.52,
1977-11,107.45,
1977-12,108.01,
1978-01,108.71,
1978-02,109.64,
1978-03,109.65,
1978-04,109.21,
1978-05,108.47,
1978-06,107.38,
1978-07,105.39,
1978-08,105.47,
1978-09,106.00,
1978-10,105.45,
1978-11,105.07,
1978-12,104.81,
1979-01,103.71,
1979-02,102.66,
1979-03,102.30,
1979-04,100.78,
1979-05,98.60,
1979-06,98.31,
1979-07,99.10,
1979-08,99.72,
1979-09,99.51,
1979-10,97.33,
1979-11,97.92,
1979-12,98.02,
1980-01,96.85,
1980-02,94.04,
1980-03,90.66,
1980-04,93.92,
1980-05,96.14,
1980-06,97.64,
1980-07,98.66,
1980-08,97.90,
1980-09,96.57,
1980-10,95.50,
1980-11,95.03,
1980-12,93.75,
1981-01,93.06,
1981-02,88.42,
1981-03,89.83,
1981-04,88.88,
1981-05,86.02,
1981-06,87.63,
1981-07,86.70,
1981-08,85.88,
1981-09,87.34,
1981-10,88.86,
1981-11,91.13,
1981-12,90.85,
1982-01,90.80,
1982-02,91.06,
1982-03,92.86,
1982-04,95.01,
1982-05,94.77,
1982-06,92.55,
1982-07,93.41,
1982-08,94.83,
1982-09,96.39,
1982-10,97.92,
1982-11,98.07,
1982-12,99.86,
1983-01,99.93,
1983-02,100.43,
1983-03,101.20,
1983-04,100.56,
1983-05,97.93,
1983-06,98.42,
1983-07,97.82,
1983-08,96.84,
1983-09,97.27,
1983-10,97.93,
1983-11,97.48,
1983-12,97.40,
1984-01,97.68,
1984-02,98.84,
1984-03,98.71,
1984-04,98.65,
1984-05,97.91,
1984-06,98.08,
1984-07,97.85,
1984-08,99.32,
1984-09,100.07,
1984-10,101.37,
1984-11,102.43,
1984-12,102.56,
1985-01,101.69,
1985-02,99.96,
1985-03,100.72,
1985-04,101.42,
1985-05,102.40,
1985-06,102.97,
1985-07,103.94,
1985-08,105.56,
1985-09,105.74,
1985-10,103.91,
1985-11,104.61,
1985-12,105.49,
1986-01,105.61,
1986-02,107.16,
1986-03,108.30,
1986-04,109.15,
1986-05,107.08,
1986-06,107.43,
1986-07,107.88,
1986-08,108.63,
1986-09,107.34,
1986-10,106.40,
1986-11,107.24,
1986-12,107.17,
1987-01,108.28,
1987-02,108.07,
1987-03,109.23,
1987-04,109.58,
1987-05,109.99,
1987-06,108.27,
1987-07,109.12,
1987-08,106.43,
1987-09,105.11,
1987-10,106.13,
1987-11,107.43,
1987-12,107.10,
1988-01,107.34,
1988-02,108.44,
1988-03,108.20,
1988-04,107.00,
1988-05,106.26,
1988-06,105.64,
1988-07,104.12,
1988-08,104.18,
1988-09,105.26,
1988-10,106.71,
1988-11,105.67,
1988-12,105.03,
1989-01,103.47,
1989-02,101.75,
1989-03,102.09,
1989-04,102.46,
1989-05,101.39,
1989-06,102.41,
1989-07,103.23,
1989-08,102.21,
1989-09,101.06,
1989-10,100.40,
1989-11,99.03,
1989-12,99.46,
1990-01,97.59,
1990-02,94.20,
1990-03,94.88,
1990-04,93.84,
1990-05,94.07,
1990-06,94.41,
1990-07,95.28,
1990-08,93.63,
1990-09,93.12,
1990-10,93.66,
1990-11,93.82,
1990-12,93.50,
1991-01,94.28,
1991-02,95.73,
1991-03,95.24,
1991-04,95.62,
1991-05,96.10,
1991-06,95.23,
1991-07,94.34,
1991-08,95.30,
1991-09,95.36,
1991-10,95.31,
1991-11,95.49,
1991-12,96.35,
1992-01,97.59,
1992-02,97.70,
1992-03,96.90,
1992-04,96.76,
1992-05,97.00,
1992-06,96.51,
1992-07,96.04,
1992-08,96.69,
1992-09,98.98,
1992-10,100.47,
1992-11,100.74,
1992-12,101.54,
1993-01,102.11,
1993-02,104.17,
1993-03,104.19,
1993-04,103.61,
1993-05,103.50,
1993-06,104.25,
1993-07,104.97,
1993-08,106.27,
1993-09,106.82,
1993-10,108.05,
1993-11,108.45,
1993-12,109.36,
1994-01,108.92,
1994-02,106.10,
1994-03,105.77,
1994-04,104.53,
1994-05,103.44,
1994-06,103.22,
1994-07,103.38,
1994-08,102.03,
1994-09,100.57,
1994-10,100.68,
1994-11,101.16,
1994-12,99.90,
1995-01,100.92,
1995-02,101.49,
1995-03,102.97,
1995-04,103.73,
1995-05,105.73,
1995-06,103.82,
1995-07,104.74,
1995-08,105.43,
1995-09,105.85,
1995-10,106.84,
1995-11,108.34,
1995-12,109.18,
1996-01,109.94,
1996-02,107.60,
1996-03,107.48,
1996-04,108.26,
1996-05,107.69,
1996-06,106.73,
1996-07,107.56,
1996-08,107.85,
1996-09,109.04,
1996-10,109.34,
1996-11,110.65,
1996-12,110.37,
1997-01,110.73,
1997-02,111.70,
1997-03,110.02,
1997-04,110.35,
1997-05,109.99,
1997-06,110.96,
1997-07,111.05,
1997-08,110.18,
1997-09,110.69,
1997-10,110.09,
1997-11,110.43,
1997-12,111.01,
1998-01,112.53,
1998-02,112.89,
1998-03,112.76,
1998-04,112.29,
1998-05,113.05,
1998-06,113.40,
1998-07,113.83,
1998-08,116.13,
1998-09,117.23,
1998-10,116.72,
1998-11,117.57,
1998-12,118.18,
1999-01,119.48,
1999-02,117.60,
1999-03,118.20,
1999-04,118.98,
1999-05,117.83,
1999-06,115.22,
1999-07,113.65,
1999-08,113.19,
1999-09,112.33,
1999-10,111.45,
1999-11,111.64,
1999-12,110.60,
2000-01,109.61,
2000-02,109.74,
2000-03,110.77,
2000-04,110.15,
2000-05,109.83,
2000-06,109.97,
2000-07,109.62,
2000-08,109.50,
2000-09,110.09,
2000-10,110.20,
2000-11,111.31,
2000-12,112.48,
2001-01,112.74,
2001-02,112.81,
2001-03,113.31,
2001-04,111.46,
2001-05,111.20,
2001-06,111.91,
2001-07,112.89,
2001-08,113.66,
2001-09,114.23,
2001-10,116.03,
2001-11,114.87,
2001-12,113.12,
2002-01,112.77,
2002-02,112.62,
2002-03,111.22,
2002-04,111.82,
2002-05,111.81,
2002-06,112.81,
2002-07,113.75,
2002-08,115.02,
2002-09,116.61,
2002-10,115.60,
2002-11,115.65,
2002-12,117.56,
2003-01,118.54,
2003-02,119.33,
2003-03,118.59,
2003-04,118.22,
2003-05,120.83,
2003-06,119.90,
2003-07,118.76,
2003-08,117.58,
2003-09,118.79,
2003-10,116.90,
2003-11,116.48,
2003-12,117.36,
2004-01,117.68,
2004-02,119.00,
2004-03,119.55,
2004-04,117.92,
2004-05,117.30,
2004-06,116.96,
2004-07,117.54,
2004-08,118.53,
2004-09,118.72,
2004-10,119.44,
2004-11,120.11,
2004-12,120.19,
2005-01,120.97,
2005-02,120.25,
2005-03,120.25,
2005-04,121.89,
2005-05,122.43,
2005-06,123.30,
2005-07,122.52,
2005-08,122.90,
2005-09,122.50,
2005-10,120.76,
2005-11,120.55,
2005-12,120.92,
2006-01,120.02,
2006-02,119.73,
2006-03,118.09,
2006-04,117.04,
2006-05,117.46,
2006-06,116.42,
2006-07,117.23,
2006-08,117.67,
2006-09,118.39,
2006-10,117.59,
2006-11,118.17,
2006-12,116.78,
2007-01,115.94,
2007-02,116.78,
2007-03,116.24,
2007-04,115.31,
2007-05,114.44,
2007-06,113.61,
2007-07,114.42,
2007-08,115.13,
2007-09,114.71,
2007-10,115.66,
2007-11,116.85,
2007-12,114.85,
2008-01,117.45,
2008-02,118.44,
2008-03,118.80,
2008-04,117.52,
2008-05,115.30,
2008-06,113.93,
2008-07,114.26,
2008-08,116.35,
2008-09,116.87,
2008-10,118.57,
2008-11,120.91,
2008-12,121.68,
2009-01,120.77,
2009-02,122.22,
2009-03,123.41,
2009-04,122.56,
2009-05,121.12,
2009-06,122.17,
2009-07,121.69,
2009-08,122.50,
2009-09,122.68,
2009-10,123.20,
2009-11,124.43,
2009-12,123.62,
2010-01,123.86,
2010-02,124.70,
2010-03,124.93,
2010-04,125.47,
2010-05,127.57,
2010-06,127.85,
2010-07,125.75,
2010-08,129.20,
2010-09,128.37,
2010-10,126.80,
2010-11,127.06,
2010-12,124.96,
2011-01,122.48,
2011-02,122.70,
2011-03,121.46,
2011-04,121.95,
2011-05,123.54,
2011-06,123.67,
2011-07,125.79,
2011-08,128.78,
2011-09,129.54,
2011-10,129.65,
2011-11,128.90,
2011-12,131.48,
2012-01,131.37,
2012-02,131.35,
2012-03,131.43,
2012-04,132.70,
2012-05,134.80,
2012-06,132.79,
2012-07,134.55,
2012-08,134.78,
2012-09,134.28,
2012-10,134.23,
2012-11,134.96,
2012-12,135.11,
2013-01,133.12,
2013-02,134.63,
2013-03,135.85,
2013-04,135.75,
2013-05,134.63,
2013-06,133.13,
2013-07,133.63,
2013-08,132.71,
2013-09,133.66,
2013-10,134.19,
2013-11,133.97,
2013-12,132.11,
2014-01,134.32,
2014-02,134.67,
2014-03,134.70,
2014-04,134.91,
2014-05,136.00,
2014-06,136.38,
2014-07,136.83,
2014-08,138.12,
2014-09,137.92,
2014-10,138.01,
2014-11,138.40,
2014-12,139.68,
2015-01,140.04,
