"",BBK01.OEAC05N,BBK01.OEAC05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:00,
2002-01,35.359,
2002-04,34.631,
2002-07,34.211,
2002-10,34.676,
2003-01,33.978,
2003-04,34.278,
2003-07,33.276,
2003-10,32.164,
2004-01,31.440,
2004-04,30.876,
2004-07,30.483,
2004-10,29.444,
2005-01,29.459,
2005-04,29.240,
2005-07,28.552,
2005-10,28.289,
2006-01,28.140,
2006-04,28.021,
2006-07,28.136,
2006-10,27.755,
2007-01,28.537,
2007-04,29.670,
2007-07,30.037,
2007-10,30.903,
2008-01,30.795,
2008-04,30.910,
2008-07,30.833,
2008-10,31.183,
2009-01,30.033,
2009-04,29.706,
2009-07,29.034,
2009-10,26.816,
2010-01,28.037,
2010-04,28.471,
2010-07,28.936,
2010-10,29.004,
2011-01,29.474,
2011-04,29.414,
2011-07,29.801,
2011-10,29.548,
2012-01,29.960,
2012-04,28.493,
2012-07,28.407,
2012-10,28.432,
2013-01,28.958,
2013-04,28.775,
2013-07,28.323,
2013-10,28.378,
2014-01,28.958,
2014-04,29.165,
2014-07,29.372,
