"",BBK01.OEBB22K,BBK01.OEBB22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:15,
2002-01,0.601,
2002-04,0.512,
2002-07,0.008,
2002-10,0.036,
2003-01,0.062,
2003-04,0.087,
2003-07,0.067,
2003-10,0.522,
2004-01,0.179,
2004-04,0.191,
2004-07,0.169,
2004-10,0.140,
2005-01,0.121,
2005-04,0.122,
2005-07,0.123,
2005-10,0.005,
2006-01,0.122,
2006-04,0.061,
2006-07,0.150,
2006-10,0.004,
2007-01,0.024,
2007-04,0.012,
2007-07,0.080,
2007-10,0.156,
2008-01,0.055,
2008-04,0.100,
2008-07,0.150,
2008-10,0.733,
2009-01,1.634,
2009-04,1.414,
2009-07,1.736,
2009-10,1.854,
2010-01,2.017,
2010-04,2.209,
2010-07,0.344,
2010-10,0.483,
2011-01,0.031,
2011-04,0.010,
2011-07,0.050,
2011-10,0.051,
2012-01,0.052,
2012-04,0.102,
2012-07,0.136,
2012-10,0.062,
2013-01,0.107,
2013-04,0.109,
2013-07,0.096,
2013-10,0.158,
2014-01,0.264,
2014-04,0.296,
2014-07,0.289,
