"",BBFN1.M.DE.N.1.L.BE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:24,
1982-09,2.343,
1982-10,2.525,
1982-11,2.236,
1982-12,1.841,
1983-01,2.101,
1983-02,2.094,
1983-03,2.134,
1983-04,2.011,
1983-05,1.906,
1983-06,1.851,
1983-07,1.731,
1983-08,1.952,
1983-09,1.649,
1983-10,1.825,
1983-11,1.637,
1983-12,1.440,
1984-01,1.591,
1984-02,1.750,
1984-03,1.687,
1984-04,1.779,
1984-05,1.738,
1984-06,1.562,
1984-07,1.517,
1984-08,1.540,
1984-09,1.592,
1984-10,1.337,
1984-11,1.379,
1984-12,1.103,
1985-01,1.232,
1985-02,1.251,
1985-03,1.367,
1985-04,1.345,
1985-05,1.259,
1985-06,1.305,
1985-07,1.394,
1985-08,1.596,
1985-09,1.505,
1985-10,1.455,
1985-11,1.413,
1985-12,1.330,
1986-01,1.580,
1986-02,1.620,
1986-03,1.584,
1986-04,1.949,
1986-05,1.989,
1986-06,1.760,
1986-07,1.843,
1986-08,2.032,
1986-09,1.941,
1986-10,2.027,
1986-11,1.928,
1986-12,1.507,
1987-01,1.543,
1987-02,1.599,
1987-03,1.465,
1987-04,1.450,
1987-05,1.364,
1987-06,1.348,
1987-07,1.388,
1987-08,1.360,
1987-09,1.354,
1987-10,1.454,
1987-11,1.420,
1987-12,1.446,
1988-01,1.421,
1988-02,1.427,
1988-03,1.576,
1988-04,1.577,
1988-05,1.492,
1988-06,1.539,
1988-07,1.672,
1988-08,1.702,
1988-09,1.719,
1988-10,1.878,
1988-11,1.725,
1988-12,1.836,
1989-01,1.746,
1989-02,1.681,
1989-03,1.821,
1989-04,1.772,
1989-05,1.805,
1989-06,1.835,
1989-07,1.799,
1989-08,1.735,
1989-09,1.945,
1989-10,1.933,
1989-11,1.969,
1989-12,2.174,
1990-01,2.440,
1990-02,2.557,
1990-03,2.808,
1990-04,3.062,
1990-05,2.521,
1990-06,2.913,
1990-07,2.679,
1990-08,2.443,
1990-09,2.634,
1990-10,2.384,
1990-11,2.621,
1990-12,2.545,
1991-01,2.994,
1991-02,2.874,
1991-03,3.177,
1991-04,3.365,
1991-05,3.421,
1991-06,3.849,
1991-07,3.987,
1991-08,4.005,
1991-09,4.067,
1991-10,4.349,
1991-11,4.145,
1991-12,4.462,
1992-01,4.250,
1992-02,4.510,
1992-03,4.870,
1992-04,5.310,
1992-05,5.549,
1992-06,5.042,
1992-07,5.383,
1992-08,5.744,
1992-09,5.159,
1992-10,5.421,
1992-11,5.815,
1992-12,5.758,
1993-01,5.488,
1993-02,5.343,
1993-03,5.800,
1993-04,5.621,
1993-05,5.681,
1993-06,5.490,
1993-07,5.354,
1993-08,5.768,
1993-09,5.385,
1993-10,5.484,
1993-11,5.511,
1993-12,5.113,
1994-01,4.864,
1994-02,4.710,
1994-03,4.849,
1994-04,4.897,
1994-05,4.999,
1994-06,4.844,
1994-07,5.108,
1994-08,5.307,
1994-09,5.586,
1994-10,5.554,
1994-11,5.376,
1994-12,5.449,
1995-01,5.152,
1995-02,5.008,
1995-03,5.845,
1995-04,5.785,
1995-05,6.012,
1995-06,5.865,
1995-07,5.891,
1995-08,6.084,
1995-09,5.963,
1995-10,5.786,
1995-11,5.755,
1995-12,5.791,
1996-01,5.473,
1996-02,6.590,
1996-03,6.657,
1996-04,6.481,
1996-05,6.793,
1996-06,6.985,
1996-07,6.002,
1996-08,5.879,
1996-09,6.184,
1996-10,6.062,
1996-11,6.892,
1996-12,6.004,
1997-01,6.237,
1997-02,7.266,
1997-03,7.421,
1997-04,6.558,
1997-05,6.750,
1997-06,6.290,
1997-07,6.876,
1997-08,6.623,
1997-09,7.450,
1997-10,7.506,
1997-11,7.650,
1997-12,9.264,
1998-01,9.032,
1998-02,9.368,
1998-03,10.353,
1998-04,10.019,
1998-05,9.489,
1998-06,9.139,
1998-07,9.191,
1998-08,10.298,
1998-09,10.013,
1998-10,9.836,
1998-11,9.561,
1998-12,9.443,
1999-01,11.251,
1999-02,10.604,
1999-03,10.515,
1999-04,10.606,
1999-05,10.414,
1999-06,10.056,
1999-07,11.540,
