"",BBK01.OEAC18K,BBK01.OEAC18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:32,
2002-01,0.547,
2002-04,0.531,
2002-07,0.469,
2002-10,0.362,
2003-01,0.217,
2003-04,0.240,
2003-07,0.301,
2003-10,0.372,
2004-01,0.210,
2004-04,0.340,
2004-07,0.354,
2004-10,0.320,
2005-01,0.350,
2005-04,0.249,
2005-07,0.220,
2005-10,0.261,
2006-01,0.263,
2006-04,0.331,
2006-07,0.204,
2006-10,0.229,
2007-01,0.137,
2007-04,0.125,
2007-07,0.107,
2007-10,0.141,
2008-01,0.273,
2008-04,0.325,
2008-07,0.370,
2008-10,0.357,
2009-01,0.438,
2009-04,0.405,
2009-07,0.363,
2009-10,0.362,
2010-01,0.312,
2010-04,0.403,
2010-07,0.257,
2010-10,0.327,
2011-01,0.320,
2011-04,0.309,
2011-07,0.468,
2011-10,0.401,
2012-01,0.260,
2012-04,0.214,
2012-07,0.229,
2012-10,0.205,
2013-01,0.329,
2013-04,0.309,
2013-07,0.332,
2013-10,0.304,
2014-01,0.293,
2014-04,0.321,
2014-07,0.229,
