"",BBK01.OXA9XZ,BBK01.OXA9XZ_FLAGS
"",Short-term loans to Financial vehicle corporations (FVCs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:04,
2010-06,0.195,
2010-07,0.112,
2010-08,0.100,
2010-09,0.099,
2010-10,0.086,
2010-11,0.210,
2010-12,0.321,
2011-01,0.227,
2011-02,0.232,
2011-03,0.129,
2011-04,0.079,
2011-05,0.114,
2011-06,0.098,
2011-07,0.164,
2011-08,0.136,
2011-09,0.192,
2011-10,0.194,
2011-11,0.201,
2011-12,0.111,
2012-01,0.098,
2012-02,0.083,
2012-03,0.117,
2012-04,0.084,
2012-05,0.054,
2012-06,0.097,
2012-07,0.048,
2012-08,0.045,
2012-09,0.035,
2012-10,0.055,
2012-11,0.052,
2012-12,0.052,
2013-01,0.050,
2013-02,0.052,
2013-03,0.058,
2013-04,0.071,
2013-05,0.076,
2013-06,0.059,
2013-07,0.059,
2013-08,0.055,
2013-09,0.049,
2013-10,0.050,
2013-11,0.059,
2013-12,0.078,
2014-01,0.071,
2014-02,0.074,
2014-03,0.064,
2014-04,0.054,
2014-05,0.046,
2014-06,0.058,
2014-07,0.063,
2014-08,0.057,
2014-09,0.054,
2014-10,0.055,
2014-11,0.054,
2014-12,0.040,Provisional value
