"",BBK01.OEBJ02P,BBK01.OEBJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:12,
2002-01,0.407,
2002-04,0.329,
2002-07,0.492,
2002-10,0.377,
2003-01,0.497,
2003-04,0.400,
2003-07,0.371,
2003-10,0.429,
2004-01,0.309,
2004-04,0.309,
2004-07,0.384,
2004-10,0.555,
2005-01,0.380,
2005-04,0.524,
2005-07,0.518,
2005-10,0.389,
2006-01,0.342,
2006-04,0.332,
2006-07,0.292,
2006-10,0.376,
2007-01,0.316,
2007-04,0.289,
2007-07,0.375,
2007-10,0.425,
2008-01,0.336,
2008-04,0.333,
2008-07,0.310,
2008-10,0.510,
2009-01,0.583,
2009-04,0.480,
2009-07,0.602,
2009-10,0.771,
2010-01,0.650,
2010-04,0.941,
2010-07,0.912,
2010-10,0.980,
2011-01,0.798,
2011-04,0.836,
2011-07,0.817,
2011-10,0.984,
2012-01,0.890,
2012-04,1.027,
2012-07,0.847,
2012-10,1.086,
2013-01,0.848,
2013-04,0.732,
2013-07,0.740,
2013-10,0.770,
2014-01,0.762,
2014-04,0.715,
2014-07,0.659,
