"",BBK01.OEAO04G,BBK01.OEAO04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:30,
2002-01,-0.582,
2002-04,-1.748,
2002-07,-0.257,
2002-10,0.213,
2003-01,0.199,
2003-04,-0.670,
2003-07,-0.031,
2003-10,-0.038,
2004-01,0.689,
2004-04,-0.089,
2004-07,0.103,
2004-10,0.534,
2005-01,1.324,
2005-04,-0.358,
2005-07,-0.743,
2005-10,-0.960,
2006-01,-0.755,
2006-04,-1.262,
2006-07,-1.382,
2006-10,-2.193,
2007-01,-1.581,
2007-04,-2.640,
2007-07,-2.440,
2007-10,-2.272,
2008-01,-2.762,
2008-04,-2.444,
2008-07,-2.745,
2008-10,0.200,
2009-01,2.383,
2009-04,1.922,
2009-07,3.374,
2009-10,3.919,
2010-01,2.691,
2010-04,0.315,
2010-07,0.457,
2010-10,0.822,
2011-01,1.476,
2011-04,-0.677,
2011-07,-0.670,
2011-10,-1.192,
2012-01,0.360,
2012-04,-0.591,
2012-07,-0.227,
2012-10,-0.372,
2013-01,-0.548,
2013-04,-0.751,
2013-07,0.061,
2013-10,-0.041,
2014-01,0.275,
2014-04,-0.847,
2014-07,0.719,
