"",BBK01.OECB07J,BBK01.OECB07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:10,
2002-01,0.237,
2002-04,0.232,
2002-07,0.214,
2002-10,0.156,
2003-01,0.153,
2003-04,0.158,
2003-07,0.155,
2003-10,0.139,
2004-01,0.137,
2004-04,0.123,
2004-07,0.117,
2004-10,0.107,
2005-01,0.114,
2005-04,0.116,
2005-07,0.110,
2005-10,0.103,
2006-01,0.098,
2006-04,0.095,
2006-07,0.093,
2006-10,0.093,
2007-01,0.086,
2007-04,0.100,
2007-07,0.124,
2007-10,0.142,
2008-01,0.145,
2008-04,0.138,
2008-07,0.142,
2008-10,0.095,
2009-01,0.092,
2009-04,0.099,
2009-07,0.098,
2009-10,0.103,
2010-01,0.101,
2010-04,0.109,
2010-07,0.107,
2010-10,0.111,
2011-01,0.104,
2011-04,0.112,
2011-07,0.114,
2011-10,0.121,
2012-01,0.109,
2012-04,0.101,
2012-07,0.097,
2012-10,0.093,
2013-01,0.121,
2013-04,0.142,
2013-07,0.137,
2013-10,0.114,
2014-01,0.094,
2014-04,0.104,
2014-07,0.105,
