"",BBEX3.M.PKR.EUR.CA.AB.A01,BBEX3.M.PKR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Pakistan / EUR 1 = PKR ... (selling),
unit,PKR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:13,
1999-06,53.5557,
1999-07,55.2148,
1999-08,54.7286,
1999-09,55.4844,
1999-10,54.8220,
1999-11,52.7148,
1999-12,52.4490,
2000-01,51.1890,
2000-02,50.7011,
2000-03,50.0316,
2000-04,47.6079,
2000-05,48.6303,
2000-06,50.1766,
2000-07,50.6324,
2000-08,49.2367,
2000-09,51.8732,
2000-10,48.4168,
2000-11,49.9334,
2000-12,54.9099,
2001-01,54.9118,
2001-02,55.4059,
2001-03,53.5999,
2001-04,54.5877,
2001-05,54.2735,
2001-06,54.6846,
2001-07,56.3320,
2001-08,59.0017,
2001-09,58.5119,
2001-10,56.0011,
2001-11,54.0765,
2001-12,53.3333,
2002-01,51.9780,
2002-02,52.1474,
2002-03,52.5816,
2002-04,54.4509,
2002-05,56.4188,
2002-06,59.7332,
2002-07,58.7374,
2002-08,58.2717,
2002-09,58.2400,
2002-10,58.2669,
2002-11,58.1700,
2002-12,61.1798,
2003-01,63.1197,
2003-02,62.6232,
2003-03,62.7599,
2003-04,64.2216,
2003-05,67.9290,
2003-06,66.2396,
2003-07,65.4312,
2003-08,63.6071,
2003-09,67.5817,
2003-10,66.7000,
2003-11,67.7556,
2003-12,72.3314,
2004-01,71.2998,
2004-02,71.6754,
2004-03,69.6753,
2004-04,68.8045,
2004-05,70.8528,
2004-06,71.2188,
2004-07,70.7140,
2004-08,71.0868,
2004-09,72.9586,
2004-10,78.4999,
2004-11,79.6670,
2004-12,81.1156,
2005-01,77.4500,
2005-02,78.8500,
2005-03,76.9100,
2005-04,76.9600,
2005-05,74.0500,
2005-06,72.2500,
2005-07,72.4600,
2005-08,73.1100,
2005-09,72.1600,
2005-10,72.1700,
2005-11,70.6000,
2005-12,71.1600,
2006-01,72.5800,
2006-02,71.2200,
2006-03,73.0600,
2006-04,75.4100,
2006-05,77.6300,
2006-06,76.7500,
2006-07,77.2000,
2006-08,77.5900,
2006-09,77.1400,
2006-10,77.1800,
2006-11,80.2300,
2006-12,80.2900,
2007-01,78.8000,
2007-02,80.3600,
2007-03,81.2400,
2007-04,82.9700,
2007-05,81.7000,
2007-06,81.5100,
2007-07,82.9800,
2007-08,81.0900,
2007-09,86.1200,
2007-10,87.7900,
2007-11,90.2600,
2007-12,90.7700,
2008-01,93.0600,
2008-02,95.0200,
2008-03,99.3300,
2008-04,100.5700,
2008-05,103.9700,
2008-06,107.6500,
2008-07,111.3400,
2008-08,111.7300,
2008-09,112.1500,
2008-10,104.6000,
2008-11,101.5100,
2008-12,111.1100,
2009-01,101.8500,
2009-02,101.5500,
2009-03,106.6900,
2009-04,107.1100,
2009-05,114.4300,
2009-06,114.8200,
2009-07,117.5200,
2009-08,118.6400,
2009-09,121.8400,
2009-10,124.3200,
2009-11,126.1900,
2009-12,121.1000,
2010-01,118.2300,
2010-02,115.5600,
2010-03,112.8600,
2010-04,111.4600,
2010-05,104.8100,
2010-06,104.5800,
2010-07,111.9400,
2010-08,109.3400,
2010-09,117.2100,
2010-10,119.4800,
2010-11,112.4600,
2010-12,114.1900,
2011-01,116.6800,
2011-02,117.8300,
2011-03,120.4800,
2011-04,125.7600,
2011-05,123.5300,
2011-06,124.8900,
2011-07,123.9800,
2011-08,126.6300,
2011-09,118.2700,
2011-10,121.3000,
2011-11,117.4600,
2011-12,116.2200,
2012-01,118.9600,
2012-02,122.4500,
2012-03,121.0700,
2012-04,120.2500,
2012-05,115.3000,
2012-06,118.5000,
2012-07,116.3300,
2012-08,118.2300,
2012-09,122.4500,
2012-10,124.1600,
2012-11,125.4200,
2012-12,128.3100,
2013-01,132.4800,
2013-02,128.9400,
2013-03,126.1000,
2013-04,128.8000,
2013-05,128.3700,
2013-06,129.1100,
2013-07,134.8300,
2013-08,137.9900,
2013-09,142.4700,
2013-10,146.1400,
2013-11,147.3300,
2013-12,145.1000,
2014-01,142.5500,
2014-02,143.7700,
2014-03,134.5800,
2014-04,135.5900,
2014-05,134.0200,
2014-06,134.7300,
2014-07,132.4300,
2014-08,133.7800,
2014-09,130.3700,
2014-10,129.8000,
2014-11,126.4900,
2014-12,122.3700,
2015-01,114.4000,
"","General: Before June 1999, only exchange rates for the US dollar were available.",
"","Source: Since 2005 National Bank of Pakistan, Karachi December 2001 - December 2004 Deutsche Bank, Private Banking Centre Karachi September 2000 - November 2001 Standard Chartered Grindlays Bank Ltd., Karachi June 1999 - August 2000 ANZ Grindlays Bank, Karachi",
