"",BBFN1.M.DE.N.1.A.O1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:14,
1995-01,0.447,
1995-02,0.552,
1995-03,0.561,
1995-04,0.550,
1995-05,0.623,
1995-06,0.627,
1995-07,0.605,
1995-08,0.622,
1995-09,0.680,
1995-10,0.695,
1995-11,0.499,
1995-12,0.513,
1996-01,0.525,
1996-02,0.544,
1996-03,0.566,
1996-04,0.629,
1996-05,0.800,
1996-06,0.736,
1996-07,0.627,
1996-08,0.726,
1996-09,0.732,
1996-10,0.740,
1996-11,0.729,
1996-12,0.659,
1997-01,0.674,
1997-02,0.713,
1997-03,0.845,
1997-04,0.894,
1997-05,0.810,
1997-06,0.872,
1997-07,0.871,
1997-08,0.866,
1997-09,0.860,
1997-10,0.810,
1997-11,0.821,
1997-12,0.826,
1998-01,0.847,
1998-02,0.881,
1998-03,0.890,
1998-04,0.924,
1998-05,0.990,
1998-06,0.997,
1998-07,0.939,
1998-08,0.948,
1998-09,0.957,
1998-10,0.969,
1998-11,0.960,
1998-12,0.813,
1999-01,0.880,
1999-02,0.928,
1999-03,1.011,
1999-04,1.067,
1999-05,1.105,
1999-06,1.137,
1999-07,1.161,
1999-08,1.136,
1999-09,1.142,
1999-10,1.167,
1999-11,1.122,
1999-12,0.927,
2000-01,0.973,
2000-02,0.960,
2000-03,1.142,
2000-04,1.202,
2000-05,1.236,
2000-06,1.160,
2000-07,1.161,
2000-08,1.177,
2000-09,1.246,
2000-10,1.234,
2000-11,1.230,
2000-12,0.877,
2001-01,0.836,
2001-02,0.865,
2001-03,0.830,
2001-04,0.861,
2001-05,0.843,
2001-06,0.681,
2001-07,0.651,
2001-08,0.679,
2001-09,0.640,
2001-10,0.660,
2001-11,0.713,
2001-12,0.749,
2002-01,0.722,
2002-02,0.768,
2002-03,0.717,
2002-04,0.680,
2002-05,0.690,
2002-06,0.775,
2002-07,0.731,
2002-08,0.824,
2002-09,1.019,
2002-10,1.077,
2002-11,1.213,
2002-12,1.109,
2003-01,1.104,
2003-02,0.889,
2003-03,1.049,
2003-04,1.047,
2003-05,1.072,
2003-06,1.009,
2003-07,0.962,
2003-08,1.019,
2003-09,1.073,
2003-10,1.242,
2003-11,1.164,
2003-12,1.058,
2004-01,1.038,
2004-02,1.067,
2004-03,1.077,
2004-04,1.249,
2004-05,1.125,
2004-06,1.010,
2004-07,1.225,
2004-08,1.224,
2004-09,1.088,
2004-10,1.169,
2004-11,1.186,
2004-12,1.060,
2005-01,0.863,
2005-02,0.834,
2005-03,0.822,
2005-04,1.018,
2005-05,1.187,
2005-06,1.143,
2005-07,1.147,
2005-08,0.898,
2005-09,0.908,
2005-10,0.950,
2005-11,0.839,
2005-12,0.800,
2006-01,0.949,
2006-02,0.993,
2006-03,1.034,
2006-04,0.888,
2006-05,0.953,
2006-06,1.828,
2006-07,1.906,
2006-08,1.993,
2006-09,1.896,
2006-10,2.106,
2006-11,2.017,
2006-12,2.012,
2007-01,1.968,
2007-02,1.923,
2007-03,2.063,
2007-04,1.956,
2007-05,2.095,
2007-06,2.015,
2007-07,1.072,
2007-08,1.322,
2007-09,1.619,
2007-10,1.731,
2007-11,2.163,
2007-12,2.208,
2008-01,2.207,
2008-02,2.168,
2008-03,1.967,
2008-04,2.003,
2008-05,2.121,
2008-06,2.051,
2008-07,1.977,
2008-08,1.885,
2008-09,1.944,
2008-10,1.796,
2008-11,2.044,
2008-12,2.890,
2009-01,3.026,
2009-02,2.960,
2009-03,3.442,
2009-04,3.185,
2009-05,3.256,
2009-06,3.425,
2009-07,3.392,
2009-08,3.425,
2009-09,3.248,
2009-10,3.466,
2009-11,3.792,
2009-12,3.763,
2010-01,3.652,
2010-02,3.656,
2010-03,3.561,
2010-04,3.406,
2010-05,3.707,
2010-06,3.464,
2010-07,3.877,
2010-08,3.624,
2010-09,3.566,
2010-10,3.801,
2010-11,3.988,
2010-12,4.227,
2011-01,4.359,
2011-02,4.360,
2011-03,4.206,
2011-04,4.154,
2011-05,4.295,
2011-06,4.243,
2011-07,4.189,
2011-08,4.293,
2011-09,3.755,
2011-10,3.598,
2011-11,3.368,
2011-12,3.385,
2012-01,3.016,
2012-02,2.995,
2012-03,3.612,
2012-04,3.523,
2012-05,3.415,
2012-06,4.210,
2012-07,4.205,
2012-08,3.815,
2012-09,4.564,
2012-10,4.776,
2012-11,4.880,
2012-12,4.538,
2013-01,4.535,
2013-02,4.371,
2013-03,4.139,
2013-04,3.746,
2013-05,4.224,
2013-06,3.415,
2013-07,3.164,
2013-08,3.744,
2013-09,3.928,
2013-10,3.988,
2013-11,3.676,
2013-12,3.001,
2014-01,3.047,
2014-02,2.961,
2014-03,2.984,
2014-04,2.980,
2014-05,3.147,
2014-06,2.835,
2014-07,2.961,
2014-08,3.291,
2014-09,3.460,
2014-10,3.985,
2014-11,3.530,
2014-12,3.234,
