"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.U3.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.U3.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:54,
2009-09,18566,
2009-10,18501,
2009-11,18679,
2009-12,19761,
2010-01,19999,
2010-02,20207,
2010-03,21458,
2010-04,21114,
2010-05,19930,
2010-06,19905,
2010-07,20857,
2010-08,20646,
2010-09,21681,
2010-10,22151,
2010-11,22706,
2010-12,24220,
2011-01,23832,
2011-02,24441,
2011-03,23431,
2011-04,23960,
2011-05,24138,
2011-06,22977,
2011-07,23158,
2011-08,20482,
2011-09,19578,
2011-10,21336,
2011-11,20928,
2011-12,21819,
2012-01,22599,
2012-02,23158,
2012-03,22937,
2012-04,23449,
2012-05,21915,
2012-06,22586,
2012-07,23989,
2012-08,23909,
2012-09,24105,
2012-10,24048,
2012-11,24121,
2012-12,24733,
2013-01,25392,
2013-02,26099,
2013-03,26887,
2013-04,27149,
2013-05,27466,
2013-06,26242,
2013-07,27789,
2013-08,27508,
2013-09,28283,
2013-10,29160,
2013-11,29715,
2013-12,30039,
2014-01,29503,
2014-02,30812,
2014-03,30106,
2014-04,30724,
2014-05,31496,
2014-06,31290,
2014-07,31508,
2014-08,31992,
2014-09,31796,
2014-10,31619,
2014-11,32378,
