"",BBK01.OEAF25I,BBK01.OEAF25I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:39,
2002-01,1.207,
2002-04,1.292,
2002-07,1.352,
2002-10,1.248,
2003-01,1.254,
2003-04,1.647,
2003-07,1.135,
2003-10,1.112,
2004-01,1.054,
2004-04,1.079,
2004-07,1.073,
2004-10,1.025,
2005-01,1.239,
2005-04,1.243,
2005-07,1.285,
2005-10,1.316,
2006-01,1.308,
2006-04,1.351,
2006-07,1.360,
2006-10,1.367,
2007-01,1.358,
2007-04,1.401,
2007-07,1.421,
2007-10,1.324,
2008-01,1.322,
2008-04,1.557,
2008-07,1.577,
2008-10,1.752,
2009-01,1.779,
2009-04,1.806,
2009-07,1.803,
2009-10,1.967,
2010-01,1.928,
2010-04,1.976,
2010-07,1.897,
2010-10,1.858,
2011-01,1.875,
2011-04,1.824,
2011-07,1.808,
2011-10,1.447,
2012-01,1.418,
2012-04,1.352,
2012-07,1.286,
2012-10,1.287,
2013-01,1.235,
2013-04,1.222,
2013-07,1.230,
2013-10,1.217,
2014-01,1.225,
2014-04,1.082,
2014-07,1.081,
