"",BBK01.SUD210,BBK01.SUD210_FLAGS
"",New business (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of over 2 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:51,
2003-01,1133,
2003-02,843,
2003-03,1664,
2003-04,1681,
2003-05,502,
2003-06,887,
2003-07,424,
2003-08,2473,
2003-09,1179,
2003-10,4523,
2003-11,1160,
2003-12,1075,
2004-01,823,
2004-02,697,
2004-03,1274,
2004-04,1075,
2004-05,1535,
2004-06,1273,
2004-07,2601,
2004-08,1823,
2004-09,2033,
2004-10,1151,
2004-11,2678,
2004-12,2215,
2005-01,1526,
2005-02,1055,
2005-03,996,
2005-04,907,
2005-05,636,
2005-06,1211,
2005-07,1113,
2005-08,596,
2005-09,1419,
2005-10,1433,
2005-11,993,
2005-12,1070,
2006-01,866,
2006-02,1366,
2006-03,948,
2006-04,859,
2006-05,529,
2006-06,1133,
2006-07,1292,
2006-08,641,
2006-09,797,
2006-10,985,
2006-11,1290,
2006-12,690,
2007-01,1021,
2007-02,908,
2007-03,898,
2007-04,900,
2007-05,265,
2007-06,719,
2007-07,1864,
2007-08,728,
2007-09,607,
2007-10,988,
2007-11,606,
2007-12,724,
2008-01,696,
2008-02,550,
2008-03,181,
2008-04,404,
2008-05,234,
2008-06,336,
2008-07,382,
2008-08,201,
2008-09,290,
2008-10,396,
2008-11,271,
2008-12,470,
2009-01,463,
2009-02,421,
2009-03,1149,
2009-04,538,
2009-05,395,
2009-06,917,
2009-07,1713,
2009-08,792,
2009-09,565,
2009-10,513,
2009-11,559,
2009-12,844,
2010-01,539,
2010-02,294,
2010-03,473,
2010-04,281,
2010-05,193,
2010-06,172,
2010-07,183,
2010-08,243,
2010-09,139,
2010-10,248,
2010-11,381,
2010-12,811,
2011-01,388,
2011-02,783,
2011-03,448,
2011-04,845,
2011-05,472,
2011-06,465,
2011-07,574,
2011-08,515,
2011-09,415,
2011-10,1363,
2011-11,494,
2011-12,841,
2012-01,842,
2012-02,543,
2012-03,531,
2012-04,470,
2012-05,512,
2012-06,382,
2012-07,596,
2012-08,413,
2012-09,225,
2012-10,410,
2012-11,483,
2012-12,381,
2013-01,315,
2013-02,218,
2013-03,266,
2013-04,526,
2013-05,202,
2013-06,247,
2013-07,538,
2013-08,191,
2013-09,224,
2013-10,277,
2013-11,232,
2013-12,428,
2014-01,417,
2014-02,265,
2014-03,389,
2014-04,345,
2014-05,390,
2014-06,615,
2014-07,436,
2014-08,186,
2014-09,281,
2014-10,292,
2014-11,486,
2014-12,725,Provisional value
"",General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. p = Provisional,
