"",BBSF2.M.1.P.00000.SON01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.SON01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Other funds / Shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:13,
2009-09,19,
2009-10,22,
2009-11,28,
2009-12,33,
2010-01,31,
2010-02,28,
2010-03,31,
2010-04,29,
2010-05,28,
2010-06,26,
2010-07,27,
2010-08,25,
2010-09,26,
2010-10,34,
2010-11,247,
2010-12,29,
2011-01,25,
2011-02,22,
2011-03,21,
2011-04,47,
2011-05,125,
2011-06,37,
2011-07,37,
2011-08,44,
2011-09,56,
2011-10,49,
2011-11,431,
2011-12,34,
2012-01,35,
2012-02,36,
2012-03,36,
2012-04,110,
2012-05,366,
2012-06,297,
2012-07,68,
2012-08,103,
2012-09,40,
2012-10,36,
2012-11,39,
2012-12,41,
2013-01,41,
2013-02,43,
2013-03,43,
2013-04,44,
2013-05,43,
2013-06,43,
2013-07,39,
2013-08,37,
2013-09,38,
2013-10,39,
2013-11,39,
2013-12,52,
2014-01,51,
2014-02,54,
2014-03,54,
2014-04,51,
2014-05,81,
2014-06,62,
2014-07,58,
2014-08,58,
2014-09,60,
2014-10,55,
2014-11,59,
