"",BBK01.CEL209,BBK01.CEL209_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: Sonstige Finanzinsitute,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:50,
1999-01,-4.2,
1999-04,-0.1,
1999-07,3.7,
1999-10,-0.1,
2000-01,3.2,
2000-04,0.1,
2000-07,3.5,
2000-10,2.6,
2001-01,1.2,
2001-04,-0.8,
2001-07,8.9,
2001-10,-1.3,
2002-01,-2.7,
2002-04,7.0,
2002-07,8.2,
2002-10,-6.0,
2003-01,10.0,
2003-04,5.6,
2003-07,4.7,
2003-10,-8.4,
2004-01,3.3,
2004-04,-1.1,
2004-07,-4.6,
2004-10,-0.5,
2005-01,0.8,
2005-04,1.7,
2005-07,2.3,
2005-10,-3.2,
2006-01,0.9,
2006-04,7.1,
2006-07,-4.4,
2006-10,2.1,
2007-01,4.2,
2007-04,7.1,
2007-07,11.9,
2007-10,4.6,
2008-01,13.7,
2008-04,0.9,
2008-07,15.3,
2008-10,6.0,
2009-01,-15.6,
2009-04,-11.4,
2009-07,-16.6,
2009-10,-10.6,
2010-01,-4.2,
2010-04,1.4,
2010-07,0.3,
2010-10,-3.9,
2011-01,8.0,
2011-04,1.4,
2011-07,14.0,
2011-10,-3.7,
2012-01,-2.0,
2012-04,4.5,
2012-07,-2.8,
2012-10,-5.2,
2013-01,2.7,
2013-04,3.6,
2013-07,-2.9,
2013-10,-1.8,
2014-01,-0.4,
2014-04,-0.9,
2014-07,2.1,
