"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F89.T._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F89.T._T._X.N_FLAGS
1999-04,1.138,
1999-05,-0.245,
1999-06,-0.044,
1999-07,-0.748,
1999-08,-0.037,
1999-09,0.588,
1999-10,0.024,
1999-11,0.173,
1999-12,-0.066,
2000-01,0.539,
2000-02,0.449,
2000-03,-2.192,
2000-04,0.614,
2000-05,-2.184,
2000-06,-0.485,
2000-07,2.950,
2000-08,-0.633,
2000-09,0.142,
2000-10,0.903,
2000-11,0.269,
2000-12,0.107,
2001-01,0.062,
2001-02,6.755,
2001-03,0.076,
2001-04,0.083,
2001-05,0.030,
2001-06,0.017,
2001-07,-10.257,
2001-08,-0.089,
2001-09,-0.043,
2001-10,-0.002,
2001-11,0.104,
2001-12,0.034,
2002-01,-0.015,
2002-02,0.029,
2002-03,0.064,
2002-04,0.028,
2002-05,0.282,
2002-06,0.037,
2002-07,-0.061,
2002-08,-0.378,
2002-09,-0.211,
2002-10,0.050,
2002-11,0.004,
2002-12,0.530,
2003-01,0.017,
2003-02,0.001,
2003-03,0.003,
2003-04,0.011,
2003-05,-0.083,
2003-06,0.033,
2003-07,-0.045,
2003-08,0.013,
2003-09,0.007,
2003-10,0.104,
2003-11,0.025,
2003-12,-0.003,
2004-01,-0.126,
2004-02,0.163,
2004-03,-0.010,
2004-04,47.988,
2004-05,-0.082,
2004-06,-1.400,
2004-07,-0.077,
2004-08,-0.271,
2004-09,-1.092,
2004-10,-0.212,
2004-11,0.003,
2004-12,-2.100,
2005-01,-0.167,
2005-02,0.475,
2005-03,0.002,
2005-04,0.001,
2005-05,-0.051,
2005-06,-0.188,
2005-07,-0.022,
2005-08,-0.031,
2005-09,0.001,
2005-10,-,Nothing exists
2005-11,-,Nothing exists
2005-12,0.016,
2006-01,-0.238,
2006-02,0.425,
2006-03,-,Nothing exists
2006-04,-0.184,
2006-05,0.302,
2006-06,-0.440,
2006-07,-,Nothing exists
2006-08,1.713,
2006-09,-,Nothing exists
2006-10,-0.001,
2006-11,-0.001,
2006-12,-0.057,
2007-01,0.573,
2007-02,-2.393,
2007-03,0.261,
2007-04,43.516,
2007-05,0.092,
2007-06,-0.037,
2007-07,0.179,
2007-08,153.949,
2007-09,218.180,
2007-10,9.898,
2007-11,168.752,
2007-12,49.419,
2008-01,24.007,
2008-02,153.459,
2008-03,39.050,
2008-04,51.346,
2008-05,248.722,
2008-06,11.133,
2008-07,0.267,
2008-08,124.305,
2008-09,118.970,
2008-10,119.870,
2008-11,117.353,
2008-12,0.882,
2009-01,0.200,
2009-02,109.630,
2009-03,87.543,
2009-04,6.488,
2009-05,120.286,
2009-06,0.695,
2009-07,2.512,
2009-08,108.230,
2009-09,1.258,
2009-10,7.751,
2009-11,99.674,
2009-12,1.480,
2010-01,102.188,
2010-02,0.389,
2010-03,19.288,
2010-04,0.604,
2010-05,0.160,
2010-06,-0.076,
2010-07,0.048,
2010-08,-0.278,
2010-09,-,Nothing exists
2010-10,-32.473,
2010-11,-69.258,
2010-12,0.055,
2011-01,2.167,
2011-02,0.719,
2011-03,0.501,
2011-04,0.619,
2011-05,-106.113,
2011-06,-0.317,
2011-07,116.697,
2011-08,77.993,
2011-09,202.181,
2011-10,-6.241,
2011-11,39.811,
2011-12,-162.339,
2012-01,174.571,
2012-02,241.146,
2012-03,-168.390,
2012-04,161.605,
2012-05,58.698,
2012-06,-157.546,
2012-07,17.933,
2012-08,75.190,
2012-09,-60.758,
2012-10,-89.669,
2012-11,119.938,
2012-12,-76.697,
2013-01,33.164,
2013-02,-74.872,
2013-03,51.378,
2013-04,-130.504,
2013-05,97.950,
2013-06,-51.001,
2013-07,18.209,
2013-08,24.751,
2013-09,-84.243,
2013-10,-33.299,
2013-11,-106.657,
2013-12,-18.812,
2014-01,225.738,
2014-02,-144.121,Provisional value
2014-03,91.226,Provisional value
2014-04,-80.185,Provisional value
2014-05,45.299,Provisional value
2014-06,-314.858,Provisional value
2014-07,-57.594,Provisional value
2014-08,-440.754,Provisional value
2014-09,-74.161,
2014-10,128.426,
2014-11,163.500,
2014-12,-502.801,Provisional value
