"",BBK01.OECM01K,BBK01.OECM01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:23,
2002-01,0.291,
2002-04,0.304,
2002-07,0.286,
2002-10,0.230,
2003-01,0.205,
2003-04,0.286,
2003-07,0.263,
2003-10,0.322,
2004-01,0.209,
2004-04,0.353,
2004-07,0.268,
2004-10,0.373,
2005-01,0.372,
2005-04,0.480,
2005-07,0.431,
2005-10,0.310,
2006-01,0.429,
2006-04,0.596,
2006-07,0.394,
2006-10,0.381,
2007-01,0.369,
2007-04,0.507,
2007-07,0.398,
2007-10,0.733,
2008-01,0.484,
2008-04,0.904,
2008-07,0.725,
2008-10,1.333,
2009-01,1.637,
2009-04,2.359,
2009-07,1.952,
2009-10,2.105,
2010-01,2.228,
2010-04,2.182,
2010-07,1.520,
2010-10,1.219,
2011-01,1.338,
2011-04,1.268,
2011-07,1.358,
2011-10,1.348,
2012-01,1.964,
2012-04,1.957,
2012-07,1.875,
2012-10,1.926,
2013-01,2.080,
2013-04,1.966,
2013-07,2.236,
2013-10,1.913,
2014-01,1.860,
2014-04,1.957,
2014-07,2.355,
