"",BBK01.OEBB21S,BBK01.OEBB21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:47,
2002-01,1.177,
2002-04,1.170,
2002-07,1.180,
2002-10,1.225,
2003-01,1.182,
2003-04,1.212,
2003-07,1.215,
2003-10,1.259,
2004-01,1.251,
2004-04,1.238,
2004-07,1.254,
2004-10,1.282,
2005-01,1.421,
2005-04,1.469,
2005-07,1.471,
2005-10,1.424,
2006-01,1.451,
2006-04,1.406,
2006-07,1.410,
2006-10,1.368,
2007-01,1.335,
2007-04,1.286,
2007-07,1.264,
2007-10,1.195,
2008-01,1.184,
2008-04,1.224,
2008-07,1.165,
2008-10,1.079,
2009-01,1.031,
2009-04,0.981,
2009-07,0.969,
2009-10,0.849,
2010-01,0.847,
2010-04,0.842,
2010-07,0.851,
2010-10,0.867,
2011-01,0.834,
2011-04,0.856,
2011-07,0.854,
2011-10,0.849,
2012-01,0.847,
2012-04,0.836,
2012-07,0.861,
2012-10,0.851,
2013-01,0.847,
2013-04,0.855,
2013-07,0.846,
2013-10,0.866,
2014-01,0.850,
2014-04,0.891,
2014-07,0.858,
