"",BBFB1.M.N.DE.W1.S1.S1.T.D.SG2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SG2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Financial services / Financial intermediation services indirectly measured (FISIM) / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:32,
1991-01,73.989,
1991-02,73.989,
1991-03,73.984,
1991-04,78.653,
1991-05,78.651,
1991-06,78.657,
1991-07,79.659,
1991-08,79.657,
1991-09,79.657,
1991-10,77.987,
1991-11,77.985,
1991-12,77.989,
1992-01,106.654,
1992-02,106.654,
1992-03,106.655,
1992-04,105.656,
1992-05,105.654,
1992-06,105.655,
1992-07,105.653,
1992-08,105.657,
1992-09,105.654,
1992-10,108.655,
1992-11,108.654,
1992-12,108.659,
1993-01,116.651,
1993-02,116.654,
1993-03,116.655,
1993-04,118.981,
1993-05,118.984,
1993-06,118.983,
1993-07,122.654,
1993-08,122.652,
1993-09,122.660,
1993-10,129.323,
1993-11,129.317,
1993-12,129.316,
1994-01,114.650,
1994-02,114.652,
1994-03,114.652,
1994-04,113.659,
1994-05,113.654,
1994-06,113.655,
1994-07,113.994,
1994-08,113.983,
1994-09,113.986,
1994-10,114.984,
1994-11,114.984,
1994-12,114.981,
1995-01,126.313,
1995-02,126.315,
1995-03,126.315,
1995-04,128.981,
1995-05,128.979,
1995-06,128.980,
1995-07,129.318,
1995-08,129.314,
1995-09,129.315,
1995-10,126.654,
1995-11,126.653,
1995-12,126.657,
1996-01,146.985,
1996-02,146.987,
1996-03,146.987,
1996-04,153.984,
1996-05,153.987,
1996-06,153.986,
1996-07,146.987,
1996-08,146.987,
1996-09,146.988,
1996-10,146.651,
1996-11,146.653,
1996-12,146.651,
1997-01,159.655,
1997-02,159.650,
1997-03,159.649,
1997-04,163.317,
1997-05,163.317,
1997-06,163.319,
1997-07,156.323,
1997-08,156.316,
1997-09,156.319,
1997-10,148.986,
1997-11,148.986,
1997-12,148.986,
1998-01,153.323,
1998-02,153.320,
1998-03,153.322,
1998-04,155.982,
1998-05,155.990,
1998-06,155.991,
1998-07,149.989,
1998-08,149.987,
1998-09,149.987,
1998-10,144.320,
1998-11,144.323,
1998-12,144.319,
1999-01,160.650,
1999-02,160.652,
1999-03,160.656,
1999-04,159.330,
1999-05,159.322,
1999-06,159.332,
1999-07,164.003,
1999-08,164.003,
1999-09,164.004,
1999-10,159.651,
1999-11,159.652,
1999-12,159.671,
2000-01,149.017,
2000-02,175.040,
2000-03,174.988,
2000-04,171.646,
2000-05,171.655,
2000-06,171.653,
2000-07,170.000,
2000-08,169.990,
2000-09,169.999,
2000-10,170.658,
2000-11,170.665,
2000-12,170.664,
2001-01,167.004,
2001-02,166.998,
2001-03,167.003,
2001-04,171.338,
2001-05,171.336,
2001-06,171.331,
2001-07,178.660,
2001-08,178.678,
2001-09,178.663,
2001-10,180.659,
2001-11,180.666,
2001-12,180.663,
2002-01,162.328,
2002-02,162.323,
2002-03,162.331,
2002-04,168.326,
2002-05,168.328,
2002-06,168.329,
2002-07,163.662,
2002-08,163.670,
2002-09,163.664,
2002-10,154.668,
2002-11,154.668,
2002-12,154.668,
2003-01,160.333,
2003-02,160.333,
2003-03,160.327,
2003-04,171.333,
2003-05,171.340,
2003-06,171.326,
2003-07,174.341,
2003-08,174.332,
2003-09,174.333,
2003-10,170.001,
2003-11,169.993,
2003-12,170.000,
2004-01,180.324,
2004-02,180.327,
2004-03,180.330,
2004-04,176.330,
2004-05,176.321,
2004-06,176.325,
2004-07,174.321,
2004-08,174.327,
2004-09,174.316,
2004-10,173.336,
2004-11,173.337,
2004-12,173.326,
2005-01,186.327,
2005-02,186.329,
2005-03,186.324,
2005-04,184.330,
2005-05,184.326,
2005-06,184.335,
2005-07,194.667,
2005-08,194.663,
2005-09,194.666,
2005-10,200.314,
2005-11,200.321,
2005-12,200.325,
2006-01,198.662,
2006-02,198.657,
2006-03,198.657,
2006-04,215.993,
2006-05,215.999,
2006-06,215.994,
2006-07,235.989,
2006-08,235.999,
2006-09,235.984,
2006-10,249.660,
2006-11,249.668,
2006-12,249.666,
2007-01,250.659,
2007-02,250.659,
2007-03,250.668,
2007-04,263.336,
2007-05,263.333,
2007-06,263.324,
2007-07,256.328,
2007-08,256.329,
2007-09,256.338,
2007-10,271.661,
2007-11,271.665,
2007-12,271.661,
2008-01,284.659,
2008-02,284.668,
2008-03,284.663,
2008-04,286.666,
2008-05,286.665,
2008-06,286.667,
2008-07,284.990,
2008-08,284.985,
2008-09,284.994,
2008-10,288.999,
2008-11,288.992,
2008-12,289.003,
2009-01,214.666,
2009-02,214.663,
2009-03,214.667,
2009-04,225.334,
2009-05,225.333,
2009-06,225.328,
2009-07,226.656,
2009-08,226.659,
2009-09,226.660,
2009-10,236.001,
2009-11,235.997,
2009-12,235.994,
2010-01,251.992,
2010-02,252.001,
2010-03,251.993,
2010-04,266.326,
2010-05,266.330,
2010-06,266.336,
2010-07,279.000,
2010-08,278.993,
2010-09,278.987,
2010-10,343.660,
2010-11,343.661,
2010-12,343.654,
2011-01,321.990,
2011-02,321.984,
2011-03,321.994,
2011-04,325.650,
2011-05,325.650,
2011-06,325.657,
2011-07,351.975,
2011-08,351.983,
2011-09,351.977,
2011-10,366.633,
2011-11,366.636,
2011-12,366.635,
2012-01,357.997,
2012-02,357.977,
2012-03,357.980,
2012-04,368.978,
2012-05,368.994,
2012-06,368.992,
2012-07,362.994,
2012-08,362.988,
2012-09,362.984,
2012-10,358.339,
