"",BBK01.OECI08U,BBK01.OECI08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:11,
2002-01,0.716,
2002-04,0.563,
2002-07,0.569,
2002-10,0.628,
2003-01,0.638,
2003-04,0.612,
2003-07,0.631,
2003-10,0.628,
2004-01,0.607,
2004-04,0.637,
2004-07,0.678,
2004-10,0.703,
2005-01,1.395,
2005-04,1.371,
2005-07,1.363,
2005-10,1.339,
2006-01,1.332,
2006-04,1.298,
2006-07,1.258,
2006-10,1.242,
2007-01,1.247,
2007-04,1.226,
2007-07,1.195,
2007-10,1.207,
2008-01,1.193,
2008-04,1.215,
2008-07,1.176,
2008-10,1.187,
2009-01,1.213,
2009-04,1.239,
2009-07,1.283,
2009-10,1.330,
2010-01,1.351,
2010-04,1.360,
2010-07,1.376,
2010-10,1.372,
2011-01,1.350,
2011-04,1.331,
2011-07,1.314,
2011-10,1.312,
2012-01,1.420,
2012-04,1.402,
2012-07,1.419,
2012-10,1.474,
2013-01,1.467,
2013-04,1.455,
2013-07,1.448,
2013-10,1.467,
2014-01,1.461,
2014-04,1.438,
2014-07,1.466,
