"",BBK01.OECM04N,BBK01.OECM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:43,
2002-01,0.473,
2002-04,0.356,
2002-07,0.351,
2002-10,0.304,
2003-01,0.159,
2003-04,0.161,
2003-07,0.246,
2003-10,0.555,
2004-01,0.277,
2004-04,0.326,
2004-07,0.529,
2004-10,0.227,
2005-01,0.266,
2005-04,0.239,
2005-07,0.156,
2005-10,0.375,
2006-01,1.143,
2006-04,3.156,
2006-07,2.457,
2006-10,0.996,
2007-01,1.673,
2007-04,2.548,
2007-07,2.269,
2007-10,2.769,
2008-01,1.773,
2008-04,2.085,
2008-07,2.298,
2008-10,3.079,
2009-01,3.075,
2009-04,3.429,
2009-07,2.943,
2009-10,2.178,
2010-01,1.570,
2010-04,1.685,
2010-07,1.851,
2010-10,1.940,
2011-01,1.897,
2011-04,2.499,
2011-07,3.008,
2011-10,1.763,
2012-01,4.339,
2012-04,3.823,
2012-07,3.599,
2012-10,2.041,
2013-01,2.279,
2013-04,3.489,
2013-07,3.161,
2013-10,1.346,
2014-01,1.584,
2014-04,2.227,
2014-07,1.250,
