"",BBK01.OEYJ01J,BBK01.OEYJ01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:27,
2002-01,6.309,
2002-04,6.628,
2002-07,6.444,
2002-10,6.596,
2003-01,6.387,
2003-04,6.490,
2003-07,6.580,
2003-10,6.838,
2004-01,7.236,
2004-04,7.527,
2004-07,7.969,
2004-10,8.266,
2005-01,8.741,
2005-04,8.931,
2005-07,9.081,
2005-10,9.654,
2006-01,9.654,
2006-04,10.006,
2006-07,10.380,
2006-10,10.416,
2007-01,11.067,
2007-04,11.145,
2007-07,11.582,
2007-10,11.747,
2008-01,11.930,
2008-04,12.142,
2008-07,12.133,
2008-10,12.328,
2009-01,12.567,
2009-04,12.521,
2009-07,12.390,
2009-10,12.358,
2010-01,12.367,
2010-04,12.145,
2010-07,11.896,
2010-10,11.901,
2011-01,11.791,
2011-04,11.770,
2011-07,11.927,
2011-10,11.551,
2012-01,11.611,
2012-04,6.872,
2012-07,6.801,
2012-10,6.997,
2013-01,7.064,
2013-04,6.650,
2013-07,6.686,
2013-10,6.533,
2014-01,6.172,
2014-04,5.874,
2014-07,6.052,
