"",BBK01.OEAE20O,BBK01.OEAE20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:56,
2002-01,0.232,
2002-04,0.250,
2002-07,0.262,
2002-10,0.268,
2003-01,0.247,
2003-04,0.252,
2003-07,0.261,
2003-10,0.275,
2004-01,0.250,
2004-04,0.257,
2004-07,0.264,
2004-10,0.241,
2005-01,0.215,
2005-04,0.205,
2005-07,0.204,
2005-10,0.179,
2006-01,0.164,
2006-04,0.158,
2006-07,0.168,
2006-10,0.156,
2007-01,0.157,
2007-04,0.163,
2007-07,0.156,
2007-10,0.163,
2008-01,0.168,
2008-04,0.175,
2008-07,0.267,
2008-10,0.379,
2009-01,0.357,
2009-04,0.272,
2009-07,0.324,
2009-10,0.349,
2010-01,0.408,
2010-04,0.371,
2010-07,0.362,
2010-10,0.290,
2011-01,0.281,
2011-04,0.276,
2011-07,0.390,
2011-10,0.335,
2012-01,0.373,
2012-04,0.357,
2012-07,0.385,
2012-10,0.447,
2013-01,0.431,
2013-04,0.436,
2013-07,0.797,
2013-10,0.763,
2014-01,0.762,
2014-04,0.837,
2014-07,0.830,
