"",BBK01.OUN348,BBK01.OUN348_FLAGS
"",Loans to the Federal Government and its special funds / Total / Special purpose banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:55:29,
1999-01,6.234,
1999-02,8.121,
1999-03,7.807,
1999-04,7.367,
1999-05,6.906,
1999-06,7.136,
1999-07,6.506,
1999-08,6.640,
1999-09,7.850,
1999-10,10.659,
1999-11,9.305,
1999-12,5.594,
2000-01,6.555,
2000-02,5.268,
2000-03,5.331,
2000-04,4.630,
2000-05,0.776,
2000-06,0.964,
2000-07,1.091,
2000-08,1.310,
2000-09,1.322,
2000-10,0.714,
2000-11,0.735,
2000-12,0.804,
2001-01,0.583,
2001-02,1.354,
2001-03,3.501,
2001-04,1.583,
2001-05,1.089,
2001-06,1.154,
2001-07,1.232,
2001-08,1.231,
2001-09,1.480,
2001-10,1.343,
2001-11,3.466,
2001-12,1.477,
2002-01,2.086,
2002-02,1.641,
2002-03,2.669,
2002-04,1.719,
2002-05,1.182,
2002-06,1.139,
2002-07,1.145,
2002-08,1.101,
2002-09,1.116,
2002-10,1.218,
2002-11,1.426,
2002-12,1.533,
2003-01,1.904,
2003-02,1.843,
2003-03,2.248,
2003-04,2.156,
2003-05,1.949,
2003-06,2.459,
2003-07,2.358,
2003-08,2.258,
2003-09,2.122,
2003-10,2.323,
2003-11,2.260,
2003-12,2.310,
2004-01,2.397,
2004-02,2.478,
2004-03,2.535,
2004-04,2.858,
2004-05,3.038,
2004-06,2.813,
2004-07,2.748,
2004-08,2.661,
2004-09,2.593,
2004-10,2.882,
2004-11,3.231,
2004-12,5.133,
2005-01,4.382,
2005-02,4.331,
2005-03,4.733,
2005-04,4.311,
2005-05,4.296,
2005-06,4.283,
2005-07,4.327,
2005-08,4.397,
2005-09,4.299,
2005-10,4.238,
2005-11,4.489,
2005-12,4.648,
2006-01,4.676,
2006-02,4.462,
2006-03,4.479,
2006-04,4.532,
2006-05,4.466,
2006-06,4.204,
2006-07,4.348,
2006-08,4.347,
2006-09,4.327,
2006-10,4.442,
2006-11,4.448,
2006-12,5.475,
2007-01,5.617,
2007-02,4.747,
2007-03,4.597,
2007-04,4.611,
2007-05,4.733,
2007-06,4.734,
2007-07,4.813,
2007-08,4.781,
2007-09,4.465,
2007-10,4.605,
2007-11,4.586,
2007-12,5.500,
2008-01,4.811,
2008-02,4.811,
2008-03,4.958,
2008-04,5.185,
2008-05,5.191,
2008-06,5.671,
2008-07,6.158,
2008-08,5.854,
2008-09,5.200,
2008-10,5.199,
2008-11,5.098,
2008-12,5.964,
2009-01,6.200,
2009-02,5.204,
2009-03,5.087,
2009-04,5.393,
2009-05,5.358,
2009-06,5.370,
2009-07,5.537,
2009-08,5.541,
2009-09,6.548,
2009-10,6.598,
2009-11,5.617,
2009-12,5.869,
2010-01,6.185,
2010-02,6.195,
2010-03,5.963,
2010-04,6.171,
2010-05,6.185,
2010-06,6.220,
2010-07,6.412,
2010-08,6.404,
2010-09,6.416,
2010-10,6.536,
2010-11,6.519,
2010-12,6.447,
2011-01,7.910,
2011-02,8.067,
2011-03,7.853,
2011-04,8.091,
2011-05,8.109,
2011-06,8.045,
2011-07,8.158,
2011-08,8.191,
2011-09,8.088,
2011-10,8.324,
2011-11,8.664,
2011-12,7.149,
2012-01,8.763,
2012-02,10.127,
2012-03,10.693,
2012-04,11.775,
2012-05,12.247,
2012-06,12.808,
2012-07,12.992,
2012-08,13.045,
2012-09,12.944,
2012-10,13.072,
2012-11,13.165,
2012-12,11.365,
2013-01,11.373,
2013-02,11.394,
2013-03,13.107,
2013-04,14.612,
2013-05,14.411,
2013-06,13.070,
2013-07,13.594,
2013-08,13.045,
2013-09,13.228,
2013-10,13.609,
2013-11,13.142,
2013-12,12.255,
2014-01,12.752,
2014-02,13.400,
2014-03,12.265,
2014-04,12.376,
2014-05,13.207,
2014-06,12.615,
2014-07,13.126,
2014-08,13.427,
2014-09,13.401,
2014-10,16.132,
2014-11,17.221,
2014-12,12.351,Provisional value
