"",BBK01.PQG361,BBK01.PQG361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Land banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:25,
1968-10,1.867,
1969-01,1.929,
1969-04,1.986,
1969-07,2.039,
1969-10,2.059,
1970-01,2.088,
1970-04,2.120,
1970-07,2.166,
1970-10,2.269,
1971-01,2.286,
1971-04,2.316,
1971-07,2.363,
1971-10,2.428,
1972-01,2.508,
1972-04,2.588,
1972-07,3.262,
1972-10,3.384,
1973-01,3.472,
1973-04,3.564,
1973-07,3.705,
1973-10,3.840,
1974-01,3.891,
1974-04,3.920,
1974-07,4.005,
1974-10,4.160,
1975-01,4.304,
1975-04,4.432,
1975-07,4.555,
1975-10,4.667,
1976-01,4.757,
1976-04,4.967,
1976-07,5.018,
1976-10,5.115,
1977-01,5.179,
1977-04,5.294,
1977-07,5.417,
1977-10,5.565,
1978-01,5.650,
1978-04,5.758,
1978-07,5.866,
1978-10,6.027,
1979-01,6.074,
1979-04,6.142,
1979-07,6.182,
1979-10,6.256,
1980-01,6.324,
1980-04,6.353,
1980-07,6.433,
1980-10,6.589,
1981-01,6.695,
1981-04,6.831,
1981-07,6.980,
1981-10,7.301,
1982-01,7.383,
1982-04,7.547,
1982-07,7.708,
1982-10,8.215,
1983-01,8.364,
1983-04,9.343,
1983-07,9.582,
1983-10,10.018,
1984-01,10.146,
1984-04,10.271,
1984-07,10.326,
1984-10,10.847,
1985-01,11.010,
1985-04,11.125,
1985-07,11.273,
1985-10,11.490,
1986-01,11.582,
1986-04,11.695,
1986-07,11.785,
1986-10,11.905,
1987-01,11.787,
1987-04,11.807,
1987-07,11.816,
1987-10,11.670,
1988-01,11.496,
1988-04,11.437,
1988-07,11.441,
1988-10,11.366,
1989-01,11.340,
1989-04,11.304,
1989-07,11.124,
1989-10,11.250,
1990-01,11.212,
1990-04,11.174,
1990-07,11.120,
1990-10,11.357,
1991-01,11.333,
1991-04,11.372,
1991-07,11.399,
1991-10,11.679,
1992-01,14.827,
1992-04,14.986,
1992-07,15.225,
1992-10,14.402,
1993-01,15.154,
1993-04,15.383,
1993-07,15.821,
1993-10,16.472,
1994-01,16.659,
1994-04,16.738,
1994-07,17.025,
1994-10,17.304,
1995-01,17.248,
1995-04,17.177,
1995-07,17.043,
1995-10,17.613,
1996-01,17.782,
1996-04,17.892,
1996-07,18.268,
1996-10,18.817,
1997-01,18.922,
1997-04,19.254,
1997-07,19.536,
1997-10,19.578,
1998-01,19.478,
1998-04,19.435,
1998-07,19.703,
1998-10,20.084,
1999-01,21.721,
1999-04,23.672,
1999-07,23.664,
1999-10,23.559,
2000-01,23.304,
2000-04,23.266,
2000-07,23.300,
2000-10,23.133,
2001-01,23.029,
2001-04,22.926,
2001-07,22.939,
2001-10,22.804,
2002-01,22.563,
2002-04,22.603,
2002-07,22.513,
2002-10,22.524,
2003-01,22.387,
2003-04,21.651,
2003-07,21.968,
2003-10,21.327,
2004-01,21.205,
2004-04,21.079,
2004-07,21.191,
2004-10,20.304,
2005-01,20.010,
2005-04,19.858,
2005-07,21.247,
2005-10,20.541,
2006-01,20.232,
2006-04,19.902,
2006-07,19.636,
2006-10,19.054,
2007-01,18.601,
2007-04,17.938,
2007-07,17.572,
2007-10,17.084,
2008-01,16.646,
2008-04,16.397,
2008-07,16.014,
2008-10,15.310,
2009-01,14.964,
2009-04,14.721,
2009-07,14.462,
2009-10,14.054,
2010-01,13.867,
2010-04,13.801,
2010-07,13.519,
2010-10,13.381,
2011-01,13.059,
2011-04,12.870,
2011-07,12.547,
2011-10,12.255,
2012-01,11.904,
2012-04,11.714,
2012-07,11.485,
2012-10,11.166,
2013-01,10.859,
2013-04,10.584,
2013-07,10.227,
2013-10,10.274,
2014-01,10.135,
2014-04,9.952,
2014-07,10.004,
2014-10,9.729,
