"",BBK01.OEXB05I,BBK01.OEXB05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:09,
2002-01,25.562,
2002-04,24.374,
2002-07,24.467,
2002-10,23.931,
2003-01,23.493,
2003-04,24.181,
2003-07,20.119,
2003-10,18.379,
2004-01,19.195,
2004-04,18.761,
2004-07,19.066,
2004-10,19.206,
2005-01,19.931,
2005-04,20.293,
2005-07,20.397,
2005-10,20.173,
2006-01,20.870,
2006-04,21.301,
2006-07,18.483,
2006-10,21.994,
2007-01,23.304,
2007-04,24.223,
2007-07,25.091,
2007-10,25.548,
2008-01,27.236,
2008-04,30.393,
2008-07,32.210,
2008-10,34.559,
2009-01,35.425,
2009-04,36.240,
2009-07,36.469,
2009-10,37.306,
2010-01,37.426,
2010-04,37.610,
2010-07,37.131,
2010-10,37.338,
2011-01,36.816,
2011-04,36.729,
2011-07,36.730,
2011-10,37.081,
2012-01,37.425,
2012-04,36.868,
2012-07,36.808,
2012-10,36.788,
2013-01,37.200,
2013-04,37.019,
2013-07,37.048,
2013-10,37.889,
2014-01,37.747,
2014-04,37.508,
2014-07,37.794,
