"",BBK01.OELL04J,BBK01.OELL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:59,
2002-01,0.106,
2002-04,0.089,
2002-07,0.087,
2002-10,0.104,
2003-01,0.093,
2003-04,0.085,
2003-07,0.096,
2003-10,0.093,
2004-01,0.086,
2004-04,0.077,
2004-07,0.077,
2004-10,0.095,
2005-01,0.083,
2005-04,0.085,
2005-07,0.092,
2005-10,0.092,
2006-01,0.112,
2006-04,0.112,
2006-07,0.105,
2006-10,0.096,
2007-01,0.097,
2007-04,0.116,
2007-07,0.113,
2007-10,0.107,
2008-01,0.137,
2008-04,0.154,
2008-07,0.106,
2008-10,0.145,
2009-01,0.134,
2009-04,0.116,
2009-07,0.088,
2009-10,0.084,
2010-01,0.073,
2010-04,0.067,
2010-07,0.064,
2010-10,0.061,
2011-01,0.065,
2011-04,0.069,
2011-07,0.079,
2011-10,0.080,
2012-01,0.070,
2012-04,0.070,
2012-07,0.065,
2012-10,0.064,
2013-01,0.059,
2013-04,0.058,
2013-07,0.056,
2013-10,0.055,
2014-01,0.049,
2014-04,0.047,
2014-07,0.048,
