"",BBK01.OEAA48S,BBK01.OEAA48S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:13,
2002-01,0.247,
2002-04,0.232,
2002-07,0.233,
2002-10,0.235,
2003-01,0.228,
2003-04,0.220,
2003-07,0.213,
2003-10,0.195,
2004-01,0.188,
2004-04,0.172,
2004-07,0.166,
2004-10,0.236,
2005-01,0.226,
2005-04,0.216,
2005-07,0.213,
2005-10,0.184,
2006-01,0.186,
2006-04,0.181,
2006-07,0.180,
2006-10,0.177,
2007-01,0.174,
2007-04,0.170,
2007-07,0.165,
2007-10,0.156,
2008-01,0.152,
2008-04,0.150,
2008-07,0.150,
2008-10,0.144,
2009-01,0.142,
2009-04,0.136,
2009-07,0.135,
2009-10,0.135,
2010-01,0.132,
2010-04,0.124,
2010-07,0.115,
2010-10,0.111,
2011-01,0.109,
2011-04,0.106,
2011-07,0.104,
2011-10,0.101,
2012-01,0.099,
2012-04,0.095,
2012-07,0.093,
2012-10,0.087,
2013-01,0.085,
2013-04,0.080,
2013-07,0.079,
2013-10,0.079,
2014-01,0.077,
2014-04,0.075,
2014-07,0.075,
