"",BBK01.WX4248,BBK01.WX4248_FLAGS
"",Net sales of domestic debt securities at market values +/- changes in issuers' holdings of their own debt securities / Corporate bonds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:09,
2000-01,914,
2000-02,1315,
2000-03,-274,
2000-04,1158,
2000-05,1076,
2000-06,907,
2000-07,3795,
2000-08,1175,
2000-09,1084,
2000-10,1011,
2000-11,332,
2000-12,112,
2001-01,1670,
2001-02,859,
2001-03,2602,
2001-04,1011,
2001-05,2632,
2001-06,-1725,
2001-07,5248,
2001-08,1951,
2001-09,1246,
2001-10,2848,
2001-11,-2115,
2001-12,-1754,
2002-01,6615,
2002-02,-3434,
2002-03,-2894,
2002-04,3039,
2002-05,2496,
2002-06,188,
2002-07,4404,
2002-08,806,
2002-09,2569,
2002-10,3035,
2002-11,561,
2002-12,-2879,
2003-01,7299,
2003-02,5368,
2003-03,1948,
2003-04,4380,
2003-05,4322,
2003-06,-887,
2003-07,237,
2003-08,1143,
2003-09,267,
2003-10,4246,
2003-11,25,
2003-12,1914,
2004-01,-1669,
2004-02,323,
2004-03,-579,
2004-04,2775,
2004-05,261,
2004-06,2211,
2004-07,8716,
2004-08,-467,
2004-09,-3683,
2004-10,1669,
2004-11,4769,
2004-12,-3548,
2005-01,1988,
2005-02,5382,
2005-03,-681,
2005-04,1314,
2005-05,2175,
2005-06,-4621,
2005-07,-1673,
2005-08,-634,
2005-09,1243,
2005-10,1494,
2005-11,-160,
2005-12,-3145,
2006-01,5089,
2006-02,562,
2006-03,3856,
2006-04,2525,
2006-05,7997,
2006-06,-2495,
2006-07,-3443,
2006-08,-2862,
2006-09,2449,
2006-10,164,
2006-11,177,
2006-12,-5076,
2007-01,1185,
2007-02,2380,
2007-03,2518,
2007-04,-934,
2007-05,4285,
2007-06,1207,
2007-07,3328,
2007-08,-655,
2007-09,-1055,
2007-10,3603,
2007-11,5814,
2007-12,-1553,
2008-01,5560,
2008-02,1205,
2008-03,5145,
2008-04,-4669,
2008-05,1067,
2008-06,2374,
2008-07,1683,Estimated value
2008-08,28130,Estimated value
2008-09,1844,Estimated value
2008-10,2334,Estimated value
2008-11,2928,Estimated value
2008-12,38926,Estimated value
2009-01,-6462,
2009-02,12584,
2009-03,150,
2009-04,4479,
2009-05,1115,
2009-06,1889,
2009-07,1714,
2009-08,-477,
2009-09,4737,
2009-10,2818,
2009-11,1328,
2009-12,-1166,
2010-01,4582,
2010-02,4684,
2010-03,5961,
2010-04,4878,
2010-05,1059,
2010-06,-3637,
2010-07,-1169,
2010-08,-732,
2010-09,642,
2010-10,5377,
2010-11,3564,
2010-12,-1165,
2011-01,11049,
2011-02,8095,
2011-03,1204,
2011-04,-3518,
2011-05,3332,
2011-06,3159,
2011-07,2528,
2011-08,903,
2011-09,-2901,
2011-10,-10980,
2011-11,-2825,
2011-12,-9196,
2012-01,-6174,
2012-02,-2597,
2012-03,2730,
2012-04,517,
2012-05,-852,
2012-06,-5111,
2012-07,3230,
2012-08,-3685,
2012-09,-1342,
2012-10,-5702,
2012-11,4790,
2012-12,5495,
2013-01,-5543,
2013-02,7068,
2013-03,5979,
2013-04,2476,
2013-05,421,
2013-06,-5473,
2013-07,-2594,
2013-08,70,
2013-09,-1743,
2013-10,5716,
2013-11,-1251,
2013-12,-4973,
2014-01,3516,
2014-02,409,
2014-03,-1890,
2014-04,635,
2014-05,-1127,
2014-06,-4686,
2014-07,5062,
2014-08,-1327,
2014-09,-218,
2014-10,-1626,
2014-11,-305,
2014-12,227,
