"",BBK01.OEAA05H,BBK01.OEAA05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:44,
2002-01,463.844,
2002-04,459.829,
2002-07,458.649,
2002-10,456.279,
2003-01,451.293,
2003-04,448.604,
2003-07,445.839,
2003-10,453.965,
2004-01,445.898,
2004-04,444.516,
2004-07,440.512,
2004-10,433.085,
2005-01,434.998,
2005-04,431.278,
2005-07,430.446,
2005-10,430.350,
2006-01,428.670,
2006-04,424.987,
2006-07,424.618,
2006-10,420.493,
2007-01,417.129,
2007-04,415.299,
2007-07,413.090,
2007-10,406.239,
2008-01,421.922,
2008-04,424.749,
2008-07,427.804,
2008-10,428.034,
2009-01,424.116,
2009-04,394.605,
2009-07,414.170,
2009-10,414.269,
2010-01,409.579,
2010-04,412.987,
2010-07,409.697,
2010-10,406.231,
2011-01,400.521,
2011-04,401.177,
2011-07,411.912,
2011-10,417.101,
2012-01,413.716,
2012-04,417.858,
2012-07,418.654,
2012-10,417.214,
2013-01,417.719,
2013-04,414.919,
2013-07,410.088,
2013-10,406.269,
2014-01,406.516,
2014-04,408.336,
2014-07,413.390,
