"",BBK01.OEAJ08L,BBK01.OEAJ08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:45,
2002-01,0.204,
2002-04,0.212,
2002-07,0.213,
2002-10,0.219,
2003-01,0.220,
2003-04,0.268,
2003-07,0.269,
2003-10,0.278,
2004-01,0.291,
2004-04,0.310,
2004-07,0.288,
2004-10,0.295,
2005-01,0.318,
2005-04,0.336,
2005-07,0.353,
2005-10,0.341,
2006-01,0.362,
2006-04,0.344,
2006-07,0.337,
2006-10,0.329,
2007-01,0.314,
2007-04,0.292,
2007-07,0.296,
2007-10,0.280,
2008-01,0.288,
2008-04,0.297,
2008-07,0.293,
2008-10,0.296,
2009-01,0.302,
2009-04,0.318,
2009-07,0.359,
2009-10,0.376,
2010-01,0.467,
2010-04,0.454,
2010-07,0.458,
2010-10,0.473,
2011-01,0.497,
2011-04,0.495,
2011-07,0.495,
2011-10,0.384,
2012-01,0.406,
2012-04,0.424,
2012-07,0.426,
2012-10,0.410,
2013-01,0.419,
2013-04,0.420,
2013-07,0.412,
2013-10,0.401,
2014-01,0.399,
2014-04,0.380,
2014-07,0.380,
