"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Enterprises and households / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:46,
1991-01,839.364,
1991-02,3197.240,
1991-03,3009.714,
1991-04,2381.692,
1991-05,778.492,
1991-06,4654.143,
1991-07,-9.494,
1991-08,-733.726,
1991-09,1809.267,
1991-10,2854.215,
1991-11,-744.165,
1991-12,211.654,
1992-01,-3124.525,
1992-02,345.443,
1992-03,-879.646,
1992-04,-434.669,
1992-05,1222.263,
1992-06,1274.950,
1992-07,1160.658,
1992-08,-840.801,
1992-09,4307.871,
1992-10,2283.253,
1992-11,1932.516,
1992-12,-828.100,
1993-01,944.199,
1993-02,1531.831,
1993-03,1207.948,
1993-04,927.624,
1993-05,399.553,
1993-06,-1106.580,
1993-07,-1037.409,
1993-08,-45.163,
1993-09,190.499,
1993-10,909.596,
1993-11,-1101.015,
1993-12,1888.362,
1994-01,-2646.380,
1994-02,2072.603,
1994-03,2985.398,
1994-04,413.631,
1994-05,1076.606,
1994-06,-1182.480,
1994-07,-238.072,
1994-08,224.744,
1994-09,1318.539,
1994-10,862.881,
1994-11,2770.520,
1994-12,184.694,
1995-01,434.393,
1995-02,746.652,
1995-03,3986.363,
1995-04,929.057,
1995-05,1185.422,
1995-06,278.563,
1995-07,-1291.757,
1995-08,-677.398,
1995-09,3210.558,
1995-10,1171.704,
1995-11,1664.613,
1995-12,1091.688,
1996-01,510.039,
1996-02,2217.835,
1996-03,22.306,
1996-04,1163.863,
1996-05,2475.121,
1996-06,-1827.061,
1996-07,-260.777,
1996-08,-427.970,
1996-09,2383.011,
1996-10,1223.010,
1996-11,489.049,
1996-12,-431.104,
1997-01,-141.308,
1997-02,2226.112,
1997-03,1395.176,
1997-04,2643.117,
1997-05,2073.241,
1997-06,3954.157,
1997-07,834.081,
1997-08,-2327.413,
1997-09,-97.497,
1997-10,3203.542,
1997-11,-415.129,
1997-12,-627.118,
1998-01,1495.447,
1998-02,1897.893,
1998-03,2935.404,
1998-04,345.583,
1998-05,-1127.085,
1998-06,-53.159,
1998-07,1656.054,
1998-08,-1991.100,
1998-09,3875.911,
1998-10,1264.975,
1998-11,1682.408,
1998-12,545.097,
1999-01,2014.168,
1999-02,535.326,
1999-03,4548.289,
1999-04,917.316,
1999-05,471.058,
1999-06,4595.167,
1999-07,2498.200,
1999-08,1848.763,
1999-09,-929.265,
1999-10,6670.760,
1999-11,13.006,
1999-12,6273.903,
2000-01,5266.157,
2000-02,10573.533,
2000-03,2187.254,
2000-04,-1630.158,
2000-05,1739.728,
2000-06,-5247.541,
2000-07,-4118.815,
2000-08,-534.925,
2000-09,7130.811,
2000-10,-857.627,
2000-11,1185.745,
2000-12,2521.352,
2001-01,5057.474,
2001-02,2113.316,
2001-03,776.840,
2001-04,6770.127,
2001-05,4104.440,
2001-06,-188.819,
2001-07,2546.746,
2001-08,-1397.050,
2001-09,2401.048,
2001-10,2668.389,
2001-11,2537.137,
2001-12,-360.146,
2002-01,-35.710,
2002-02,5140.555,
2002-03,3665.326,
2002-04,-2732.493,
2002-05,2439.120,
2002-06,227.886,
2002-07,780.537,
2002-08,98.688,
2002-09,3529.985,
2002-10,1963.713,
2002-11,2059.079,
2002-12,-6142.455,
2003-01,3530.149,
2003-02,1617.227,
2003-03,-4454.863,
2003-04,1090.270,
2003-05,-1446.855,
2003-06,-339.377,
2003-07,1867.383,
2003-08,270.650,
2003-09,72.083,
2003-10,299.448,
2003-11,1440.461,
2003-12,281.230,
2004-01,5359.264,
2004-02,2885.400,
2004-03,2244.924,
2004-04,-2154.209,
2004-05,452.764,
2004-06,-642.952,
2004-07,-1668.003,
2004-08,-386.547,
2004-09,1869.777,
2004-10,1678.686,
2004-11,523.255,
2004-12,-35.420,
2005-01,3139.136,
2005-02,5746.408,
2005-03,1793.345,
2005-04,1154.504,
2005-05,1057.396,
2005-06,4315.775,
2005-07,3398.057,
2005-08,5298.704,
2005-09,8477.666,
2005-10,5537.459,
2005-11,4221.750,
2005-12,-2536.535,
2006-01,5511.913,
2006-02,6314.756,
2006-03,3997.962,
2006-04,1278.925,
2006-05,-187.794,
2006-06,11089.166,
2006-07,549.290,
2006-08,-899.682,
2006-09,4876.621,
2006-10,-456.970,
2006-11,1964.430,
2006-12,5393.593,
2007-01,6132.182,
2007-02,12756.485,
2007-03,-6619.303,
2007-04,-261.875,
2007-05,6018.654,
2007-06,9220.402,
2007-07,545.100,
2007-08,-1133.762,
2007-09,11638.466,
2007-10,-5499.903,
2007-11,4548.333,
2007-12,2442.873,
2008-01,7856.395,
2008-02,14847.139,
2008-03,3295.385,
2008-04,477.777,
2008-05,-586.154,
2008-06,8842.266,
2008-07,-8972.421,
2008-08,-763.462,
2008-09,6385.165,
2008-10,16693.167,
2008-11,-2907.054,
2008-12,3129.351,
2009-01,-1817.981,
2009-02,-2096.163,
2009-03,-427.040,
2009-04,-1809.209,
2009-05,-5768.694,
2009-06,5643.813,
2009-07,-3752.157,
2009-08,-6380.056,
2009-09,966.272,
2009-10,-1090.967,
2009-11,828.310,
2009-12,10903.302,
2010-01,-19444.573,
2010-02,2018.670,
2010-03,4519.851,
2010-04,-173.232,
2010-05,7548.646,
2010-06,5429.854,
2010-07,10876.127,
2010-08,-1486.129,
2010-09,2949.044,
2010-10,-3917.860,
2010-11,-1176.240,
2010-12,1044.441,
2011-01,8463.252,
2011-02,-8383.053,
2011-03,2226.123,
2011-04,4214.282,
2011-05,3232.640,
2011-06,-637.119,
2011-07,9165.878,
2011-08,6552.524,
2011-09,13140.636,
2011-10,-9802.284,
2011-11,3763.159,
2011-12,3120.418,
2012-01,-2633.931,
2012-02,-634.627,
2012-03,11730.013,
2012-04,11710.013,
2012-05,6693.462,
2012-06,-807.857,
2012-07,-4031.847,
2012-08,-11867.390,
2012-09,9058.686,
2012-10,2410.085,
2012-11,-1414.436,
2012-12,-9948.177,
2013-01,1389.819,
2013-02,3299.526,
2013-03,6530.054,
2013-04,9350.641,
2013-05,-7358.805,
2013-06,7398.200,
2013-07,-12849.663,
2013-08,2929.633,
2013-09,7295.279,
2013-10,-12338.646,
2013-11,4374.722,
2013-12,-21764.048,
2014-01,4715.831,
2014-02,-1357.546,Provisional value
2014-03,5503.180,Provisional value
2014-04,2411.794,Provisional value
2014-05,-1326.722,Provisional value
2014-06,933.737,Provisional value
2014-07,5313.514,Provisional value
2014-08,-6228.105,Provisional value
2014-09,-1061.281,
2014-10,-4554.282,
2014-11,4782.229,
2014-12,-7017.148,Provisional value
