"",BBK01.OELB01P,BBK01.OELB01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:43,
2002-01,5.846,
2002-04,5.877,
2002-07,5.750,
2002-10,5.712,
2003-01,5.786,
2003-04,5.792,
2003-07,5.778,
2003-10,5.807,
2004-01,5.775,
2004-04,5.777,
2004-07,5.795,
2004-10,5.744,
2005-01,5.678,
2005-04,5.654,
2005-07,5.685,
2005-10,5.644,
2006-01,5.634,
2006-04,5.714,
2006-07,5.677,
2006-10,5.695,
2007-01,5.646,
2007-04,5.651,
2007-07,5.671,
2007-10,5.707,
2008-01,5.663,
2008-04,5.780,
2008-07,5.837,
2008-10,5.806,
2009-01,5.834,
2009-04,5.875,
2009-07,5.933,
2009-10,5.970,
2010-01,5.994,
2010-04,6.070,
2010-07,6.118,
2010-10,6.175,
2011-01,6.200,
2011-04,6.312,
2011-07,6.393,
2011-10,6.423,
2012-01,6.483,
2012-04,7.018,
2012-07,7.074,
2012-10,7.121,
2013-01,7.132,
2013-04,7.139,
2013-07,7.007,
2013-10,7.023,
2014-01,6.993,
2014-04,6.985,
2014-07,6.996,
