"",BBK01.OEHB19S,BBK01.OEHB19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:16,
2002-01,0.129,
2002-04,0.132,
2002-07,0.134,
2002-10,0.134,
2003-01,0.133,
2003-04,0.134,
2003-07,0.134,
2003-10,0.130,
2004-01,0.131,
2004-04,0.127,
2004-07,0.130,
2004-10,0.129,
2005-01,0.126,
2005-04,0.127,
2005-07,0.126,
2005-10,0.124,
2006-01,0.125,
2006-04,0.128,
2006-07,0.127,
2006-10,0.124,
2007-01,0.121,
2007-04,0.121,
2007-07,0.117,
2007-10,0.111,
2008-01,0.106,
2008-04,0.106,
2008-07,0.101,
2008-10,0.096,
2009-01,0.093,
2009-04,0.094,
2009-07,0.092,
2009-10,0.087,
2010-01,0.085,
2010-04,0.085,
2010-07,0.091,
2010-10,0.088,
2011-01,0.087,
2011-04,0.089,
2011-07,0.092,
2011-10,0.091,
2012-01,0.091,
2012-04,0.094,
2012-07,0.140,
2012-10,0.139,
2013-01,0.141,
2013-04,0.145,
2013-07,0.151,
2013-10,0.149,
2014-01,0.150,
2014-04,0.154,
2014-07,0.159,
