"",BBFB1.Q.N.DE.S1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:31,
1991-01,-194.064,
1991-04,-227.391,
1991-07,-282.755,
1991-10,-234.444,
1992-01,-235.800,
1992-04,-177.322,
1992-07,-47.872,
1992-10,-201.760,
1993-01,-216.878,
1993-04,-136.248,
1993-07,-195.351,
1993-10,-217.982,
1994-01,-257.467,
1994-04,-207.550,
1994-07,-238.844,
1994-10,-267.334,
1995-01,-283.138,
1995-04,-185.537,
1995-07,-265.087,
1995-10,-314.636,
1996-01,-294.313,
1996-04,-277.672,
1996-07,-302.782,
1996-10,-317.582,
1997-01,-267.981,
1997-04,-263.580,
1997-07,-292.494,
1997-10,-301.859,
1998-01,-304.121,
1998-04,-42.827,
1998-07,-326.609,
1998-10,-323.649,
1999-01,-236.505,
1999-04,-219.407,
1999-07,-285.900,
1999-10,-329.049,
2000-01,-276.057,
2000-04,-197.163,
2000-07,-308.278,
2000-10,-487.479,
2001-01,-382.416,
2001-04,-342.923,
2001-07,-486.442,
2001-10,-576.720,
2002-01,-436.014,
2002-04,-498.093,
2002-07,-479.752,
2002-10,-473.621,
2003-01,-482.214,
2003-04,-384.261,
2003-07,-733.994,
2003-10,-417.652,
2004-01,-525.714,
2004-04,-517.305,
2004-07,-721.131,
2004-10,-556.499,
2005-01,-646.024,
2005-04,-582.497,
2005-07,-659.576,
2005-10,-137.265,
2006-01,-559.160,
2006-04,-577.272,
2006-07,-827.245,
2006-10,-985.980,
2007-01,-890.845,
2007-04,-810.078,
2007-07,-819.324,
2007-10,-749.846,
2008-01,-751.269,
2008-04,-627.327,
2008-07,-830.724,
2008-10,-1074.004,
2009-01,-716.870,
2009-04,-453.502,
2009-07,-551.954,
2009-10,-526.676,
2010-01,-470.969,
2010-04,-662.829,
2010-07,-765.961,
2010-10,-713.331,
2011-01,-671.161,
2011-04,-505.310,
2011-07,-539.336,
2011-10,-732.894,
2012-01,-529.962,
2012-04,-531.250,
2012-07,-708.387,
2012-10,-631.234,
2013-01,-489.553,
2013-04,-507.621,
2013-07,-531.350,
2013-10,-546.643,
2014-01,-460.249,Provisional value
2014-04,-650.518,Provisional value
2014-07,-525.910,Provisional value
