"",BBK01.OEXJ03R,BBK01.OEXJ03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:39,
2002-01,0.246,
2002-04,0.236,
2002-07,0.259,
2002-10,0.250,
2003-01,0.230,
2003-04,0.231,
2003-07,0.227,
2003-10,0.225,
2004-01,0.236,
2004-04,0.196,
2004-07,0.187,
2004-10,0.143,
2005-01,0.146,
2005-04,0.118,
2005-07,0.144,
2005-10,0.144,
2006-01,0.168,
2006-04,0.198,
2006-07,0.178,
2006-10,0.167,
2007-01,0.234,
2007-04,0.268,
2007-07,0.287,
2007-10,0.352,
2008-01,0.440,
2008-04,0.418,
2008-07,0.492,
2008-10,0.379,
2009-01,0.097,
2009-04,0.065,
2009-07,0.059,
2009-10,0.050,
2010-01,0.050,
2010-04,0.044,
2010-07,0.046,
2010-10,0.056,
2011-01,0.073,
2011-04,0.077,
2011-07,0.097,
2011-10,0.532,
2012-01,0.580,
2012-04,0.689,
2012-07,0.726,
2012-10,0.752,
2013-01,0.770,
2013-04,0.776,
2013-07,0.761,
2013-10,0.757,
2014-01,0.734,
2014-04,0.787,
2014-07,0.563,
