"",BBK01.OEAH47G,BBK01.OEAH47G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:23,
2002-01,0.225,
2002-04,0.234,
2002-07,0.244,
2002-10,0.259,
2003-01,0.278,
2003-04,0.266,
2003-07,0.282,
2003-10,0.286,
2004-01,0.280,
2004-04,0.275,
2004-07,0.286,
2004-10,0.300,
2005-01,0.229,
2005-04,0.220,
2005-07,0.212,
2005-10,0.218,
2006-01,0.218,
2006-04,0.224,
2006-07,0.226,
2006-10,0.233,
2007-01,0.234,
2007-04,0.242,
2007-07,0.259,
2007-10,0.347,
2008-01,0.378,
2008-04,0.394,
2008-07,0.430,
2008-10,0.450,
2009-01,0.370,
2009-04,0.356,
2009-07,0.307,
2009-10,0.328,
2010-01,0.311,
2010-04,0.291,
2010-07,0.304,
2010-10,0.310,
2011-01,0.303,
2011-04,0.323,
2011-07,0.328,
2011-10,0.332,
2012-01,0.325,
2012-04,0.300,
2012-07,0.280,
2012-10,0.265,
2013-01,0.263,
2013-04,0.227,
2013-07,0.229,
2013-10,0.209,
2014-01,0.198,
2014-04,0.193,
2014-07,0.186,
