"",BBK01.OEAB23I,BBK01.OEAB23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:47,
2002-01,0.246,
2002-04,0.294,
2002-07,0.212,
2002-10,0.282,
2003-01,0.499,
2003-04,0.647,
2003-07,0.759,
2003-10,0.796,
2004-01,0.704,
2004-04,0.701,
2004-07,0.713,
2004-10,0.681,
2005-01,0.685,
2005-04,0.850,
2005-07,0.632,
2005-10,0.846,
2006-01,0.917,
2006-04,0.885,
2006-07,1.373,
2006-10,1.559,
2007-01,1.297,
2007-04,2.381,
2007-07,2.091,
2007-10,1.414,
2008-01,1.625,
2008-04,1.618,
2008-07,1.557,
2008-10,1.181,
2009-01,1.143,
2009-04,2.603,
2009-07,4.188,
2009-10,4.171,
2010-01,4.038,
2010-04,3.719,
2010-07,2.937,
2010-10,2.744,
2011-01,4.486,
2011-04,4.208,
2011-07,3.136,
2011-10,2.924,
2012-01,2.807,
2012-04,2.439,
2012-07,2.262,
2012-10,2.226,
2013-01,1.945,
2013-04,1.816,
2013-07,1.939,
2013-10,1.948,
2014-01,1.804,
2014-04,1.201,
2014-07,1.183,
