"",BBK01.OEXB21H,BBK01.OEXB21H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:08,
2002-01,2.361,
2002-04,2.547,
2002-07,2.031,
2002-10,2.532,
2003-01,2.020,
2003-04,2.280,
2003-07,2.922,
2003-10,3.689,
2004-01,0.266,
2004-04,0.214,
2004-07,0.234,
2004-10,0.225,
2005-01,0.232,
2005-04,0.175,
2005-07,0.194,
2005-10,0.221,
2006-01,0.206,
2006-04,0.198,
2006-07,0.200,
2006-10,0.200,
2007-01,0.165,
2007-04,0.182,
2007-07,0.173,
2007-10,0.200,
2008-01,0.177,
2008-04,0.171,
2008-07,0.468,
2008-10,0.163,
2009-01,0.164,
2009-04,0.140,
2009-07,0.141,
2009-10,0.191,
2010-01,0.190,
2010-04,0.172,
2010-07,0.172,
2010-10,0.188,
2011-01,0.303,
2011-04,0.177,
2011-07,0.205,
2011-10,0.230,
2012-01,0.207,
2012-04,0.198,
2012-07,0.187,
2012-10,0.171,
2013-01,0.186,
2013-04,0.174,
2013-07,0.221,
2013-10,0.249,
2014-01,0.245,
2014-04,0.269,
2014-07,0.324,
