"",BBK01.OEAH46J,BBK01.OEAH46J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:11,
2002-01,0.285,
2002-04,0.277,
2002-07,0.291,
2002-10,0.323,
2003-01,0.279,
2003-04,0.272,
2003-07,0.255,
2003-10,0.246,
2004-01,0.249,
2004-04,0.250,
2004-07,0.251,
2004-10,0.234,
2005-01,0.238,
2005-04,0.215,
2005-07,0.184,
2005-10,0.185,
2006-01,0.190,
2006-04,0.194,
2006-07,0.187,
2006-10,0.221,
2007-01,0.219,
2007-04,0.230,
2007-07,0.290,
2007-10,0.345,
2008-01,0.362,
2008-04,0.363,
2008-07,0.426,
2008-10,0.518,
2009-01,0.337,
2009-04,0.272,
2009-07,0.193,
2009-10,0.161,
2010-01,0.149,
2010-04,0.138,
2010-07,0.160,
2010-10,0.147,
2011-01,0.157,
2011-04,0.161,
2011-07,0.173,
2011-10,0.131,
2012-01,0.142,
2012-04,0.118,
2012-07,0.108,
2012-10,0.080,
2013-01,0.078,
2013-04,0.072,
2013-07,0.075,
2013-10,0.079,
2014-01,0.077,
2014-04,0.075,
2014-07,0.071,
