"",BBFB1.Q.N.DE.ES.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:50,
1991-01,288.872,
1991-04,314.842,
1991-07,320.115,
1991-10,349.637,
1992-01,405.508,
1992-04,382.988,
1992-07,361.062,
1992-10,507.555,
1993-01,392.154,
1993-04,405.727,
1993-07,400.865,
1993-10,383.791,
1994-01,395.704,
1994-04,351.554,
1994-07,420.685,
1994-10,380.437,
1995-01,452.969,
1995-04,446.217,
1995-07,458.953,
1995-10,466.860,
1996-01,417.321,
1996-04,434.712,
1996-07,479.527,
1996-10,417.913,
1997-01,591.293,
1997-04,494.970,
1997-07,519.854,
1997-10,535.082,
1998-01,556.510,
1998-04,528.595,
1998-07,600.532,
1998-10,595.643,
1999-01,526.034,
1999-04,585.975,
1999-07,609.406,
1999-10,696.714,
2000-01,560.871,
2000-04,703.687,
2000-07,789.468,
2000-10,704.698,
2001-01,614.196,
2001-04,660.140,
2001-07,735.025,
2001-10,790.012,
2002-01,659.330,
2002-04,782.429,
2002-07,767.109,
2002-10,869.501,
2003-01,724.039,
2003-04,717.166,
2003-07,792.646,
2003-10,927.242,
2004-01,815.932,
2004-04,910.172,
2004-07,1045.477,
2004-10,1090.502,
2005-01,803.040,
2005-04,852.589,
2005-07,928.953,
2005-10,867.468,
2006-01,953.350,
2006-04,1052.940,
2006-07,1087.417,
2006-10,1147.323,
2007-01,1010.896,
2007-04,1055.359,
2007-07,1184.332,
2007-10,1149.282,
2008-01,1121.385,
2008-04,1135.316,
2008-07,1226.768,
2008-10,1294.176,
2009-01,892.578,
2009-04,959.590,
2009-07,1091.099,
2009-10,975.579,
2010-01,984.749,
2010-04,1042.106,
2010-07,1257.211,
2010-10,1191.523,
2011-01,940.401,
2011-04,986.993,
2011-07,1217.154,
2011-10,1204.081,
2012-01,995.415,
2012-04,997.270,
2012-07,1219.422,
2012-10,1133.317,
2013-01,962.657,
2013-04,1006.737,
2013-07,1091.322,
2013-10,1170.467,
2014-01,1004.814,Provisional value
2014-04,1076.965,Provisional value
2014-07,1227.696,Provisional value
