"",BBK01.OELJ01P,BBK01.OELJ01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:18,
2002-01,0.772,
2002-04,0.790,
2002-07,0.793,
2002-10,0.908,
2003-01,0.819,
2003-04,0.835,
2003-07,0.821,
2003-10,0.894,
2004-01,0.828,
2004-04,0.816,
2004-07,0.806,
2004-10,0.863,
2005-01,0.802,
2005-04,0.806,
2005-07,0.896,
2005-10,0.912,
2006-01,0.844,
2006-04,0.867,
2006-07,0.849,
2006-10,1.031,
2007-01,0.921,
2007-04,0.989,
2007-07,0.968,
2007-10,1.002,
2008-01,0.895,
2008-04,0.887,
2008-07,1.028,
2008-10,1.034,
2009-01,0.983,
2009-04,1.024,
2009-07,1.015,
2009-10,1.146,
2010-01,1.029,
2010-04,1.049,
2010-07,1.048,
2010-10,1.198,
2011-01,1.136,
2011-04,1.196,
2011-07,1.195,
2011-10,1.268,
2012-01,1.248,
2012-04,1.332,
2012-07,1.507,
2012-10,1.460,
2013-01,1.395,
2013-04,1.352,
2013-07,1.363,
2013-10,1.459,
2014-01,1.372,
2014-04,1.287,
2014-07,1.252,
