"",BBSF2.M.1.T.00000.AKT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Equity funds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:04,
2009-09,779,
2009-10,775,
2009-11,767,
2009-12,773,
2010-01,764,
2010-02,759,
2010-03,750,
2010-04,743,
2010-05,733,
2010-06,735,
2010-07,736,
2010-08,736,
2010-09,732,
2010-10,732,
2010-11,735,
2010-12,723,
2011-01,716,
2011-02,718,
2011-03,718,
2011-04,702,
2011-05,699,
2011-06,690,
2011-07,691,
2011-08,692,
2011-09,690,
2011-10,690,
2011-11,694,
2011-12,696,
2012-01,692,
2012-02,690,
2012-03,684,
2012-04,685,
2012-05,677,
2012-06,676,
2012-07,674,
2012-08,675,
2012-09,669,
2012-10,668,
2012-11,669,
2012-12,664,
2013-01,665,
2013-02,662,
2013-03,657,
2013-04,656,
2013-05,657,
2013-06,651,
2013-07,658,
2013-08,659,
2013-09,657,
2013-10,646,
2013-11,643,
2013-12,648,
2014-01,647,
2014-02,653,
2014-03,653,
2014-04,655,
2014-05,657,
2014-06,661,
2014-07,658,
2014-08,656,
2014-09,661,
2014-10,660,
2014-11,673,
