"",BBK01.WX4209,BBK01.WX4209_FLAGS
"",Purchases of domestic and foreign shares by residents,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:16:25,
2000-01,-4667,
2000-02,-7371,
2000-03,11041,
2000-04,12615,
2000-05,8181,
2000-06,-26572,
2000-07,21372,
2000-08,5752,
2000-09,9723,
2000-10,11690,
2000-11,1183,
2000-12,121707,
2001-01,17388,
2001-02,5808,
2001-03,-12568,
2001-04,14431,
2001-05,-6528,
2001-06,-26490,
2001-07,2189,
2001-08,165,
2001-09,-7127,
2001-10,8769,
2001-11,2341,
2001-12,-630,
2002-01,3503,
2002-02,5435,
2002-03,-6595,
2002-04,11218,
2002-05,-2932,
2002-06,1966,
2002-07,7054,
2002-08,813,
2002-09,-1307,
2002-10,2412,
2002-11,-1205,
2002-12,-1964,
2003-01,810,
2003-02,-2639,
2003-03,-2125,
2003-04,-5893,
2003-05,7369,
2003-06,3727,
2003-07,2631,
2003-08,-2991,
2003-09,-4216,
2003-10,-9518,
2003-11,-1039,
2003-12,-1237,
2004-01,1121,
2004-02,-2532,
2004-03,7394,
2004-04,20767,
2004-05,12019,
2004-06,-15717,
2004-07,-5429,
2004-08,-2443,
2004-09,-7504,
2004-10,2147,
2004-11,-99,
2004-12,-2292,
2005-01,1183,
2005-02,-1059,
2005-03,314,
2005-04,42784,
2005-05,-14280,
2005-06,-32735,
2005-07,1200,
2005-08,1408,
2005-09,-3965,
2005-10,-39,
2005-11,13451,
2005-12,-7226,
2006-01,21391,
2006-02,-6572,
2006-03,-6856,
2006-04,24251,
2006-05,-2599,
2006-06,-29124,
2006-07,908,
2006-08,239,
2006-09,19081,
2006-10,-9611,
2006-11,2033,
2006-12,-5613,
2007-01,-9377,
2007-02,-12417,
2007-03,-6360,
2007-04,21489,
2007-05,5464,
2007-06,-51516,
2007-07,-3511,
2007-08,-8987,
2007-09,-11927,
2007-10,10849,
2007-11,373,
2007-12,3612,
2008-01,15964,
2008-02,-11933,
2008-03,5532,
2008-04,36098,
2008-05,-5312,
2008-06,-16773,
2008-07,1918,
2008-08,-1379,
2008-09,3368,
2008-10,-12396,
2008-11,-6374,
2008-12,-5970,
2009-01,28640,
2009-02,-8374,
2009-03,-1169,
2009-04,16040,
2009-05,-6208,
2009-06,1547,
2009-07,-3294,
2009-08,-479,
2009-09,-3805,
2009-10,-3221,
2009-11,4257,
2009-12,6562,
2010-01,4140,
2010-02,-1896,
2010-03,6649,
2010-04,30842,
2010-05,-17595,
2010-06,-3206,
2010-07,-8964,
2010-08,2364,
2010-09,-1040,
2010-10,11455,
2010-11,9427,
2010-12,4230,
2011-01,12414,
2011-02,-7226,
2011-03,3655,
2011-04,26693,
2011-05,-208,
2011-06,-4127,
2011-07,-5719,
2011-08,-353,
2011-09,-2200,
2011-10,1145,
2011-11,3818,
2011-12,10666,
2012-01,2017,
2012-02,-5803,
2012-03,13067,
2012-04,9217,
2012-05,-5651,
2012-06,-19130,
2012-07,4186,
2012-08,-3835,
2012-09,2893,
2012-10,7483,
2012-11,1281,
2012-12,12297,
2013-01,9665,
2013-02,-5404,
2013-03,9734,
2013-04,22069,
2013-05,-4921,
2013-06,-5635,
2013-07,6613,
2013-08,-408,
2013-09,248,
2013-10,5545,
2013-11,-4639,
2013-12,-7874,
2014-01,11526,
2014-02,-9985,
2014-03,9181,
2014-04,12035,
2014-05,3517,
2014-06,117,
2014-07,6650,
2014-08,-2884,
2014-09,-3088,
2014-10,-4430,
2014-11,-2332,
2014-12,13068,
