"",BBFN1.M.DE.N.1.L.W03100.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from advance payments received / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:14,
1995-01,0.297,
1995-02,0.300,
1995-03,0.266,
1995-04,0.283,
1995-05,0.250,
1995-06,0.258,
1995-07,0.272,
1995-08,0.293,
1995-09,0.283,
1995-10,0.313,
1995-11,0.273,
1995-12,0.281,
1996-01,0.278,
1996-02,0.261,
1996-03,0.278,
1996-04,0.304,
1996-05,0.295,
1996-06,0.337,
1996-07,0.328,
1996-08,0.329,
1996-09,0.238,
1996-10,0.278,
1996-11,0.355,
1996-12,0.511,
1997-01,0.511,
1997-02,0.553,
1997-03,0.422,
1997-04,0.376,
1997-05,0.372,
1997-06,0.343,
1997-07,0.388,
1997-08,0.378,
1997-09,0.316,
1997-10,0.361,
1997-11,0.402,
1997-12,0.404,
1998-01,0.431,
1998-02,0.435,
1998-03,0.385,
1998-04,0.412,
1998-05,0.433,
1998-06,0.392,
1998-07,0.451,
1998-08,0.444,
1998-09,0.412,
1998-10,0.426,
1998-11,0.395,
1998-12,0.366,
1999-01,0.391,
1999-02,0.401,
1999-03,0.396,
1999-04,0.354,
1999-05,0.432,
1999-06,0.463,
1999-07,0.492,
1999-08,0.459,
1999-09,0.384,
1999-10,0.377,
1999-11,0.410,
1999-12,0.408,
2000-01,0.449,
2000-02,0.442,
2000-03,0.439,
2000-04,0.437,
2000-05,0.467,
2000-06,0.485,
2000-07,0.558,
2000-08,0.591,
2000-09,0.503,
2000-10,0.503,
2000-11,0.477,
2000-12,0.500,
2001-01,0.493,
2001-02,0.477,
2001-03,0.480,
2001-04,0.519,
2001-05,0.514,
2001-06,0.577,
2001-07,0.482,
2001-08,0.639,
2001-09,0.657,
2001-10,0.684,
2001-11,0.669,
2001-12,0.718,
2002-01,0.690,
2002-02,0.704,
2002-03,0.722,
2002-04,0.623,
2002-05,0.850,
2002-06,0.851,
2002-07,0.862,
2002-08,0.852,
2002-09,0.688,
2002-10,0.727,
2002-11,0.750,
2002-12,0.706,
2003-01,0.722,
2003-02,0.452,
2003-03,0.459,
2003-04,0.526,
2003-05,0.539,
2003-06,0.536,
2003-07,0.688,
2003-08,0.822,
2003-09,0.867,
2003-10,0.745,
2003-11,0.600,
2003-12,0.615,
2004-01,0.574,
2004-02,0.569,
2004-03,0.562,
2004-04,0.614,
2004-05,0.517,
2004-06,0.540,
2004-07,0.501,
2004-08,0.525,
2004-09,0.501,
2004-10,0.498,
2004-11,0.477,
2004-12,0.516,
2005-01,0.517,
2005-02,0.513,
2005-03,0.512,
2005-04,0.535,
2005-05,0.555,
2005-06,0.586,
2005-07,0.603,
2005-08,0.610,
2005-09,0.580,
2005-10,0.621,
2005-11,0.679,
2005-12,0.739,
2006-01,0.757,
2006-02,0.827,
2006-03,0.851,
2006-04,0.868,
2006-05,0.878,
2006-06,0.846,
2006-07,0.866,
2006-08,0.874,
2006-09,0.797,
2006-10,0.819,
2006-11,0.625,
2006-12,0.709,
2007-01,0.813,
2007-02,0.843,
2007-03,0.878,
2007-04,0.938,
2007-05,0.761,
2007-06,0.781,
2007-07,0.851,
2007-08,0.898,
2007-09,0.874,
2007-10,0.897,
2007-11,0.938,
2007-12,0.833,
2008-01,0.966,
2008-02,0.911,
2008-03,0.971,
2008-04,1.109,
2008-05,1.040,
2008-06,1.153,
2008-07,1.181,
2008-08,1.269,
2008-09,1.206,
2008-10,1.222,
2008-11,1.230,
2008-12,1.202,
2009-01,1.221,
2009-02,1.284,
2009-03,1.243,
2009-04,1.257,
2009-05,1.260,
2009-06,1.317,
2009-07,1.310,
2009-08,1.280,
2009-09,1.230,
2009-10,1.236,
2009-11,1.227,
2009-12,1.481,
2010-01,1.492,
2010-02,1.544,
2010-03,1.526,
2010-04,1.512,
2010-05,1.483,
2010-06,1.502,
2010-07,1.551,
2010-08,1.544,
2010-09,1.594,
2010-10,1.651,
2010-11,1.597,
2010-12,1.692,
2011-01,1.794,
2011-02,1.812,
2011-03,1.856,
2011-04,1.892,
2011-05,1.914,
2011-06,1.990,
2011-07,2.033,
2011-08,2.096,
2011-09,2.144,
2011-10,2.166,
2011-11,2.134,
2011-12,2.248,
2012-01,2.239,
2012-02,2.272,
2012-03,2.149,
2012-04,2.168,
2012-05,2.243,
2012-06,2.290,
2012-07,2.315,
2012-08,2.391,
2012-09,2.343,
2012-10,1.907,
2012-11,2.044,
2012-12,2.087,
2013-01,2.162,
2013-02,2.135,
2013-03,2.169,
2013-04,2.248,
2013-05,2.213,
2013-06,2.197,
2013-07,1.871,
2013-08,1.841,
2013-09,2.128,
2013-10,2.189,
2013-11,2.191,
2013-12,2.222,
2014-01,2.303,
2014-02,2.246,
2014-03,2.243,
2014-04,2.166,
2014-05,2.375,
2014-06,2.237,
2014-07,2.354,
2014-08,2.443,
2014-09,2.548,
2014-10,2.520,
2014-11,2.502,
2014-12,2.523,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
