"",BBK01.OEYB23K,BBK01.OEYB23K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:04,
2002-01,0.641,
2002-04,0.629,
2002-07,0.595,
2002-10,1.235,
2003-01,1.227,
2003-04,1.260,
2003-07,1.258,
2003-10,1.386,
2004-01,0.687,
2004-04,0.596,
2004-07,0.598,
2004-10,0.552,
2005-01,0.527,
2005-04,0.445,
2005-07,0.403,
2005-10,0.419,
2006-01,0.600,
2006-04,0.599,
2006-07,0.583,
2006-10,0.464,
2007-01,0.505,
2007-04,1.096,
2007-07,1.098,
2007-10,1.293,
2008-01,1.299,
2008-04,1.272,
2008-07,1.247,
2008-10,1.149,
2009-01,1.062,
2009-04,0.808,
2009-07,0.809,
2009-10,0.791,
2010-01,0.749,
2010-04,0.749,
2010-07,0.736,
2010-10,0.718,
2011-01,0.802,
2011-04,0.599,
2011-07,0.492,
2011-10,0.416,
2012-01,0.154,
2012-04,0.092,
2012-07,0.687,
2012-10,0.816,
2013-01,0.865,
2013-04,0.930,
2013-07,0.928,
2013-10,0.948,
2014-01,0.949,
2014-04,0.951,
2014-07,0.949,
