"",BBK01.OEAJ01P,BBK01.OEAJ01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:01,
2002-01,4.365,
2002-04,4.397,
2002-07,4.626,
2002-10,4.728,
2003-01,4.904,
2003-04,4.914,
2003-07,4.923,
2003-10,5.466,
2004-01,5.265,
2004-04,5.404,
2004-07,5.359,
2004-10,5.987,
2005-01,5.828,
2005-04,5.859,
2005-07,6.039,
2005-10,6.053,
2006-01,6.111,
2006-04,6.011,
2006-07,6.086,
2006-10,6.490,
2007-01,6.480,
2007-04,6.712,
2007-07,7.091,
2007-10,7.191,
2008-01,7.108,
2008-04,7.089,
2008-07,7.098,
2008-10,7.407,
2009-01,7.330,
2009-04,7.478,
2009-07,7.670,
2009-10,7.791,
2010-01,7.720,
2010-04,7.826,
2010-07,7.684,
2010-10,8.036,
2011-01,8.071,
2011-04,8.475,
2011-07,8.721,
2011-10,8.992,
2012-01,8.181,
2012-04,8.584,
2012-07,8.857,
2012-10,9.237,
2013-01,8.762,
2013-04,8.117,
2013-07,8.075,
2013-10,7.663,
2014-01,8.012,
2014-04,7.786,
2014-07,7.566,
