"",BBK01.OEAB12M,BBK01.OEAB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:19,
2002-01,35.343,
2002-04,35.169,
2002-07,35.367,
2002-10,35.955,
2003-01,35.677,
2003-04,36.252,
2003-07,36.308,
2003-10,36.856,
2004-01,36.948,
2004-04,37.194,
2004-07,37.537,
2004-10,36.493,
2005-01,36.055,
2005-04,35.783,
2005-07,34.981,
2005-10,36.576,
2006-01,36.722,
2006-04,36.721,
2006-07,36.368,
2006-10,37.542,
2007-01,37.725,
2007-04,38.323,
2007-07,38.700,
2007-10,39.583,
2008-01,39.680,
2008-04,40.184,
2008-07,42.088,
2008-10,43.577,
2009-01,43.921,
2009-04,44.691,
2009-07,45.207,
2009-10,46.181,
2010-01,47.414,
2010-04,46.363,
2010-07,45.758,
2010-10,47.415,
2011-01,47.032,
2011-04,47.890,
2011-07,48.516,
2011-10,48.903,
2012-01,49.121,
2012-04,49.874,
2012-07,50.113,
2012-10,50.360,
2013-01,50.389,
2013-04,49.650,
2013-07,49.668,
2013-10,49.869,
2014-01,49.715,
2014-04,49.650,
2014-07,50.214,
