"",BBSF2.M.1.S.00000.DAC01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Distribution of earnings,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:05,
2009-01,1,
2009-02,1,
2009-03,19,
2009-04,4,
2009-05,18,
2009-06,1,
2009-07,181,
2009-08,7,
2009-09,-,Nothing exists
2009-10,203,
2009-11,38,
2009-12,164,
2010-01,0,
2010-02,46,
2010-03,4,
2010-04,1,
2010-05,38,
2010-06,0,
2010-07,1,
2010-08,2,
2010-09,0,
2010-10,22,
2010-11,56,
2010-12,770,
2011-01,1,
2011-02,0,
2011-03,4,
2011-04,-,Nothing exists
2011-05,56,
2011-06,17,
2011-07,11,
2011-08,0,
2011-09,0,
2011-10,5,
2011-11,20,
2011-12,637,
2012-01,1,
2012-02,4,
2012-03,0,
2012-04,33,
2012-05,0,
2012-06,-,Nothing exists
2012-07,0,
2012-08,14,
2012-09,1,
2012-10,79,
2012-11,14,
2012-12,1102,
2013-01,1,
2013-02,42,
2013-03,60,
2013-04,1,
2013-05,0,
2013-06,86,
2013-07,-,Nothing exists
2013-08,17,
2013-09,1,
2013-10,9,
2013-11,176,
2013-12,873,
2014-01,3,
2014-02,2,
2014-03,0,
2014-04,0,
2014-05,4,
2014-06,0,
2014-07,2,
2014-08,141,
2014-09,16,
2014-10,8,
2014-11,576,
