"",BBAI3.Q.DE.N.V.LE.F331.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:43,
2005-10,532,
2006-01,166,
2006-04,168,
2006-07,199,
2006-10,295,
2007-01,483,
2007-04,598,
2007-07,304,
2007-10,509,
2008-01,565,
2008-04,456,
2008-07,454,
2008-10,623,
2009-01,389,
2009-04,435,
2009-07,291,
2009-10,431,
2010-01,330,
2010-04,425,
2010-07,436,
2010-10,785,
2011-01,418,
2011-04,375,
2011-07,577,
2011-10,413,
2012-01,472,
2012-04,535,
2012-07,660,
2012-10,627,
2013-01,71,
2013-04,54,
2013-07,86,
2013-10,147,
2014-01,140,
2014-04,129,
2014-07,125,
