"",BBK01.OEAK04T,BBK01.OEAK04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:27,
2002-01,0.238,
2002-04,0.224,
2002-07,0.223,
2002-10,0.231,
2003-01,0.223,
2003-04,0.195,
2003-07,0.195,
2003-10,0.195,
2004-01,0.192,
2004-04,0.175,
2004-07,0.171,
2004-10,0.181,
2005-01,0.170,
2005-04,0.162,
2005-07,0.149,
2005-10,0.150,
2006-01,0.147,
2006-04,0.144,
2006-07,0.143,
2006-10,0.154,
2007-01,0.159,
2007-04,0.155,
2007-07,0.175,
2007-10,0.202,
2008-01,0.216,
2008-04,0.227,
2008-07,0.279,
2008-10,0.293,
2009-01,0.226,
2009-04,0.185,
2009-07,0.160,
2009-10,0.151,
2010-01,0.131,
2010-04,0.117,
2010-07,0.105,
2010-10,0.103,
2011-01,0.098,
2011-04,0.095,
2011-07,0.103,
2011-10,0.115,
2012-01,0.119,
2012-04,0.102,
2012-07,0.102,
2012-10,0.077,
2013-01,0.073,
2013-04,0.073,
2013-07,0.065,
2013-10,0.062,
2014-01,0.106,
2014-04,0.112,
2014-07,0.110,
